block_id,section_id,optimizer_score,optimizer_hour,midnight_score,as_scheduled_score,as_scheduled_hour
B02392,BZA-OGL,0.0,0,0.0,1467.9036529541015,1
B14613,BSBP-KGY,0.0,2,451.61105155944824,447.54892349243164,23
B12926,BY-SNRD,0.0,2,804.160647201538,3560.0091939926147,22
B06972,AD-GTL,0.0,10,286.8476676940918,286.8476676940918,0
B13828,GRWD-TGN,0.0,1,560.8619876861571,0.0,4
B07209,BIRA-DTK,0.0,1,96.7707094192505,0.0,2
B07715,BE-SPN,0.0,14,819.5304870605469,207.88384628295898,4
B04826,BDTS-BVI,0.0,1,370.41679229736326,370.41679229736326,0
B11760,BBLA-CQR,0.0,0,0.0,0.0,2
B13023,BHC-JJKR,0.0,20,529.9870708465576,1075.084188079834,2
B03259,BND-NHU,0.0,2,1114.6317806243896,1114.6317806243896,0
B10387,BGL-MYHT,0.0,0,0.0,311.76358737945554,22
B00267,BNAA-BNJ,0.0,0,0.0,0.0,0
B13958,KOTA-SWM,0.0,0,0.0,240.81184043884278,3
B00837,AIP-NPKM,0.0,1,171.21305809020996,0.0,2
B08557,GZB-NDLS,0.0,0,0.0,256.035223197937,23
B13690,BVA-NALR,0.0,1,509.588967704773,0.0,1
B00153,NMDR-TKF,0.0,1,115.95791492462158,115.95791492462158,0
B08960,HMZ-KOG,0.0,1,167.24801216125488,0.0,1
B09627,CHI-RN,0.0,2,558.3655838012696,1079.836017894745,1
B04961,PRES-PRWS,0.0,1,198.40883293151856,976.1872310638428,4
B04837,KYN-VLDI,0.0,2,724.8985507965087,0.0,2
B11727,MPN-NMDR,0.0,1,200.08417644500733,401.3983238220215,22
B14221,MSB-TBM,0.0,0,0.0,0.0,0
B05359,BHR-MUU,0.0,1,225.47887420654297,886.1791496276855,4
B00166,CTO-KPD,0.0,0,0.0,388.4004333496094,2
B10028,UMB-YJUD,0.0,0,0.0,0.0,0
B12178,CSB-TKJ,0.0,2,315.75699005126955,206.23187103271485,4
B06780,DUAN-RDU,0.0,0,0.0,0.0,0
B00968,BINA-JHS,0.0,16,247.59145431518556,247.59145431518556,0
B00102,CPR-SEE,0.0,4,708.6508277893066,527.4511802673339,1
B06296,BY-CSMT,0.0,0,0.0,0.0,0
B10150,IGP-NK,0.0,4,422.48521957397463,627.9907516479493,1
B08807,AKV-BRC,0.0,2,178.65670528411866,178.65670528411866,0
B10446,AJJ-TO,0.0,1,213.49491920471192,0.0,1
B14889,JIT-KMAE,0.0,2,152.97487354278564,0.0,2
B12094,MGW-ON,0.0,0,0.0,0.0,1
B08559,BGB-NAI,0.0,0,0.0,464.82021484375,22
B02173,KUN-PNP,0.0,1,662.4659557342529,659.9708518981934,2
B07078,MKK-STM,0.0,0,0.0,0.0,2
B03398,DTAE-SMAE,0.0,1,290.4775135040283,0.0,1
B09203,KYN-LTT,0.0,1,178.82821311950684,717.7037750244141,22
B12422,ARA-BXR,0.0,15,229.6483539581299,113.7569772720337,4
B00705,ADL-SRC,124.50978689193725,0,124.50978689193725,125.26015930175781,1
B05053,LNL-PUNE,0.0,12,532.9923557281495,357.164136505127,1
B06477,BVS-NRL,65.15750838518143,5,138.86533870697022,130.99801959991456,4
B07635,AKV-BH,0.0,2,182.96078357696533,541.1286952972412,1
B06828,ED-SA,0.0,13,1694.5905223846435,758.5235004425049,2
B11026,MPK-MS,0.0,1,413.45557556152346,0.0,3
B13791,JAT-UHP,0.0,1,204.62858657836915,204.96694355010987,3
B02875,BHLA-GPAE,0.0,0,0.0,655.8271766662598,22
B00944,BRC-ST,0.0,13,827.2069869041443,971.5555784225463,1
B04091,BGRD-SXC,0.0,0,0.0,342.51480827331545,22
B02660,DURG-R,0.0,0,0.0,128.11022624969482,22
B12302,BRJ-MJT,0.0,1,153.70074348449708,153.70074348449708,0
B00634,GKL-GMDN,0.0,0,0.0,0.0,1
B02059,UBC-UMB,0.0,13,296.87843284606936,294.0390106201172,4
B10144,JTJ-VN,0.0,2,175.81998777389526,176.14176321029663,1
B08200,BRJ-SSP,0.0,1,88.73541193008423,88.73541193008423,0
B07158,DVL-IGP,0.0,4,1034.32843875885,0.0,4
B11928,ABU-PVM,0.0,2,105.78665065765381,107.1723051071167,3
B01924,MAS-PER,0.0,0,0.0,0.0,0
B08819,EE-TDD,0.0,13,1061.5697660446167,1061.5697660446167,0
B01071,MUE-NED,0.0,7,579.2608417510987,386.15028915405276,2
B09054,ULNR-VLDI,0.0,2,546.7067874073982,0.0,3
B00478,HW-RK,0.0,0,0.0,123.56277503967286,1
B09072,KNR-NH,0.0,2,676.0259742736816,0.0,2
B08062,MSH-PNU,0.0,6,392.8415531158447,772.2788055419921,22
B03139,BND-NHU,0.0,2,527.2262697219849,106.60428771972656,1
B11676,RJY-TDD,0.0,17,413.0242042541504,811.1165008544922,3
B04051,BND-NHU,0.0,2,982.8010787963867,0.0,2
B13071,SBGR-SPR,0.0,1,179.30291786193848,1287.7501037597656,4
B14730,MPN-NMDR,0.0,1,179.6640197753906,179.6640197753906,0
B05690,CDNR-LPI,0.0,0,0.0,776.312319946289,22
B01662,CLA-VVH,0.0,2,758.110357761383,0.0,2
B06003,DHK-JDP,0.0,0,0.0,1376.7319427490236,23
B10865,MKK-MS,0.0,0,0.0,329.5608657836914,4
B11116,NVS-ST,0.0,5,232.28924560546875,235.78599166870117,23
B09279,KVP-PON,0.0,3,277.2793972015381,0.0,3
B14859,KTE-MYR,0.0,12,248.65343418121338,494.3376605987549,4
B14099,ASO-ATG,0.0,1,164.618949508667,161.05362854003906,4
B11549,JSG-ROU,0.0,5,615.5039367675781,615.5039367675781,0
B04484,CPR-SEE,0.0,4,507.3114898681641,507.3114898681641,0
B02072,PNVL-TNA,0.0,3,130.4383930206299,130.4383930206299,0
B02120,MSB-MSF,0.0,0,0.0,0.0,1
B04179,DR-MTN,0.0,2,1205.7192623138428,1205.7192623138428,0
B09001,MS-MSC,0.0,1,215.1958974838257,536.1750993728638,22
B13367,BMG-DTK,0.0,1,195.87937355041504,0.0,1
B13373,JTJ-KPD,0.0,7,1218.7042390823365,530.9513786315918,4
B09694,AD-MALM,0.0,7,408.1044246673584,403.91613311767577,22
B11532,BMT-SJVP,0.0,0,0.0,0.0,0
B10126,NZM-TKJ,0.0,2,161.2,80.6,1
B02621,KHT-RU,0.0,0,0.0,378.31389770507815,22
B04129,GDY-SP,0.0,1,577.8158935546875,0.0,2
B12069,PRWS-TI,0.0,1,137.10532417297364,0.0,1
B05216,BINA-JHS,0.0,16,192.39591369628906,390.50858612060546,2
B02564,BZA-OGL,0.0,0,0.0,1828.173659133911,1
B01916,DDC-DGNR,0.0,1,158.42750701904296,158.42750701904296,0
B13451,PLAE-RSLR,0.0,0,0.0,194.3484664916992,3
B02110,BPN-MIJ,0.0,0,0.0,233.17972679138182,23
B00416,DVG-HRR,0.0,17,230.5558132171631,230.5558132171631,0
B07028,GDY-STM,0.0,1,337.18849220275877,839.3002519607544,22
B11413,KLNT-NDAE,0.0,1,180.47854614257812,0.0,23
B14851,AGC-RKM,0.0,3,214.38283767700196,0.0,3
B03682,ANG-DD,0.0,8,116.91831264495849,115.12848243713378,3
B06595,SBB-VVB,0.0,3,324.23816146850584,160.9413053512573,2
B02917,ET-KNW,0.0,0,0.0,315.89819145202637,22
B09916,ARA-DNR,0.0,9,188.3141393661499,188.3141393661499,0
B00613,CNB-LKO,0.0,3,461.431116104126,461.431116104126,0
B00909,NGP-WR,0.0,1,1365.209922027588,1365.209922027588,0
B11700,BNKA-PNCB,0.0,0,0.0,0.0,3
B01116,BGAE-JIT,0.0,2,115.42025871276856,114.5127145767212,3
B11899,BHR-MUU,0.0,1,237.35405235290528,0.0,1
B10270,KDH-SEP,0.0,1,537.0260070800781,1900.1476501464842,22
B03737,DURG-G,0.0,0,0.0,0.0,0
B08065,TI-TRL,0.0,1,560.2579170227051,285.42236309051515,4
B14360,DMLE-KJU,0.0,0,0.0,0.0,2
B03127,BBK-GD,0.0,6,215.8424530029297,0.0,23
B06898,KOTA-RMA,0.0,9,463.3088287353516,603.0525886535645,1
B01906,JRC-JUC,0.0,0,0.0,707.1976089477539,3
B04151,HMZ-UPA,0.0,1,83.62856960296631,531.8977780342102,23
B09166,BLN-LKF,0.0,1,283.10977630615236,0.0,1
B02449,BGB-NAI,0.0,0,0.0,0.0,0
B11353,BHPA-MGT,0.0,0,0.0,0.0,2
B13701,AG-BHGH,0.0,0,0.0,217.07723808288574,22
B14886,BGS-BJU,0.0,8,538.4180488586426,225.0530029296875,4
B12163,RNG-UDL,0.0,4,283.6474273681641,142.12141647338868,1
B01260,IGP-KYN,0.0,5,427.7665439605713,1050.6000485420227,1
B13133,HYB-LKPL,0.0,0,0.0,0.0,0
B09499,DSB-NDLS,0.0,0,0.0,0.0,3
B09212,BKI-DO,0.0,2,574.2143531799317,569.0021148681641,1
B13576,CDNR-HFZ,0.0,0,0.0,0.0,1
B11563,MFP-SPJ,0.0,1,775.485377883911,0.0,1
B02470,ADST-MUG,0.0,1,174.04476022720337,518.0921516418457,4
B01838,BNC-SBC,0.0,0,0.0,784.4395114898682,22
B08187,KCG-VAR,0.0,0,0.0,0.0,1
B04457,HMZ-KOG,0.0,1,212.3034866333008,2376.8355911254885,22
B12523,MYR-STA,0.0,1,379.23064346313475,379.23064346313475,0
B06005,CSB-TKJ,0.0,2,505.58685951232906,0.0,22
B07640,AJJ-TO,0.0,1,132.2806625366211,262.52966499328613,22
B05297,AD-GTL,0.0,10,273.4367485046387,406.3315086364746,1
B10995,CSB-NDLS,0.0,2,379.6378921508789,0.0,3
B01647,FNB-NCHS,0.0,0,0.0,0.0,1
B12588,BPQ-CD,0.0,2,759.4837875366211,759.4837875366211,0
B11074,BUD-VGI,0.0,3,480.5001983642578,480.5001983642578,0
B09879,HPL-KKAE,0.0,1,190.74158172607423,571.7509483337403,23
B13112,GC-VVH,0.0,2,472.3656120300293,1128.1137936949729,22
B04612,NVS-ST,0.0,5,354.1232292175293,354.1232292175293,0
B06155,BST-GD,0.0,2,203.4085250854492,202.33503494262695,3
B05190,BARH-MKA,0.0,12,575.5705398559571,575.5705398559571,0
B06908,BNC-SBC,0.0,0,0.0,408.0623954772949,3
B03508,DIVA-MBQ,0.0,1,355.24945735931396,0.0,3
B10163,GIA-NRPR,0.0,1,216.97143440246583,0.0,2
B01767,BJU-SPJ,0.0,2,512.2831283569335,512.2831283569335,0
B12348,KJU-TBAE,0.0,2,94.38919239044189,97.76152210235595,3
B00583,APR-PND,0.0,3,486.5627660751343,486.5627660751343,0
B00306,DHAE-KWAE,0.0,0,0.0,106.59606666564942,1
B09738,BMG-BT,0.0,1,143.00524368286133,0.0,1
B05594,ST-UDN,0.0,0,0.0,241.05965270996094,22
B05306,BGRD-SXC,0.0,0,0.0,426.75941371917725,4
B04753,DWX-INDB,0.0,2,210.2394100189209,210.2394100189209,0
B14936,JOO-VAR,0.0,0,0.0,0.0,1
B11602,DIVA-KOPR,0.0,1,609.2060874938966,0.0,1
B08955,NSF-SIU,0.0,0,0.0,0.0,2
B14698,KVP-PON,0.0,3,268.31384506225584,0.0,3
B08078,BLYG-BLYH,0.0,0,0.0,0.0,1
B05836,BBS-CTC,224.9667881011963,8,1033.1299587249757,865.1995727539063,23
B03215,BSLA-HRO,0.0,0,0.0,397.75341148376464,23
B00616,DBT-HGA,0.0,1,114.75220108032227,0.0,1
B00044,MS-TBM,0.0,0,0.0,0.0,0
B04339,DMO-SGO,0.0,5,159.3435043334961,160.27743377685547,22
B03897,CKP-TATA,0.0,5,1569.8221000671385,259.6048003673553,1
B07810,BLN-SDAH,0.0,1,174.41202507019042,0.0,1
B09787,BEQ-BZL,0.0,0,0.0,0.0,1
B02568,HW-RK,0.0,0,0.0,0.0,0
B13902,JRC-PGW,0.0,11,390.1200988769531,390.1200988769531,0
B12577,BLAE-MBE,0.0,0,0.0,0.0,2
B06414,MKK-STM,0.0,0,0.0,0.0,3
B14444,MSB-RPM,0.0,0,0.0,0.0,0
B11197,MAS-PER,0.0,0,0.0,382.3139751434326,4
B01340,DVL-NK,0.0,8,749.1772514343262,186.2894510269165,4
B10795,AGC-MTJ,0.0,12,162.4167158126831,162.4167158126831,0
B11544,BARN-DAKE,0.0,0,0.0,0.0,0
B06112,JTJ-SA,0.0,15,1478.3146389007568,846.2508483886719,2
B02100,DEC-GGN,0.0,0,0.0,0.0,1
B09944,BHPA-SNU,0.0,0,0.0,0.0,1
B09619,CCH-PMP,0.0,1,502.5327878952026,498.9864469528198,22
B03063,KBT-TO,0.0,1,203.60249576568603,0.0,3
B10475,DIVA-KOPR,0.0,1,256.7281322479248,0.0,1
B14180,CLT-TIR,0.0,0,0.0,0.0,0
B12586,IP-PTF,0.0,1,298.6856460571289,1170.9942474365234,22
B07392,KAN-TIT,0.0,0,0.0,83.98463020324706,23
B09555,LNL-MVL,0.0,0,0.0,172.52107009887695,1
B14357,AKP-DVD,0.0,1,196.96921558380126,196.96921558380126,0
B09357,DMU-UTN,0.0,0,0.0,0.0,2
B14140,BAM-PSA,0.0,0,0.0,170.9862003326416,4
B01702,BLYH-RCD,0.0,0,0.0,0.0,1
B06671,EE-RJY,0.0,1,1309.5049335479735,1309.5049335479735,0
B04516,DNHL-SHBC,0.0,1,163.5154914855957,0.0,3
B01212,ASKR-GUMA,0.0,1,235.70218887329102,117.88492889404297,3
B04818,MCI-RDM,0.0,0,0.0,0.0,0
B05776,DBSI-VVKP,0.0,1,108.1247486114502,440.01233825683596,22
B14433,CKP-TATA,0.0,5,1420.8795186996458,930.449127960205,22
B09971,AG-PNCB,0.0,0,0.0,0.0,2
B03358,BHLA-GPAE,0.0,0,0.0,0.0,1
B07379,NEU-TNA,0.0,0,0.0,0.0,2
B10087,BVA-CGA,0.0,1,299.4031505584717,299.4031505584717,0
B02058,BGWI-GRWD,0.0,1,623.9346221923829,0.0,1
B11213,FLR-ULB,0.0,2,300.58981399536134,731.2459201812744,4
B06523,DMO-SGO,0.0,5,209.0605609893799,1437.5447498321535,2
B08578,ASKR-GUMA,0.0,1,419.322301864624,419.322301864624,0
B06369,DBSI-VVKP,0.0,1,179.3541883468628,179.3541883468628,0
B10883,PDX-RHA,219.17760200500487,2,441.22450103759763,219.17760200500487,2
B06746,CRJ-JMT,0.0,16,356.7558654785156,356.7558654785156,0
B08900,HW-RK,0.0,0,0.0,99.00448417663574,1
B04754,ASN-DHN,0.0,0,0.0,0.0,0
B11756,KYN-VLDI,0.0,2,1130.3989974975584,748.1943939208984,1
B12076,MKK-MS,0.0,0,0.0,716.6644668579102,22
B14687,PV-STM,0.0,0,0.0,0.0,1
B05722,PRES-PRWS,0.0,1,231.99397315979004,1147.1981401443481,22
B07935,AGP-SEP,0.0,1,738.9174945831298,243.0167866706848,3
B12458,JAT-UHP,0.0,1,123.58355121612549,609.5527114868164,22
B13826,PNC-RJPB,0.0,0,0.0,0.0,0
B13371,PV-STM,0.0,0,0.0,0.0,3
B14174,AIPP-ENR,0.0,1,101.60664176940918,0.0,2
B11646,DKDP-HT,0.0,1,165.8496509552002,0.0,1
B04281,PNBE-RJPB,0.0,1,112.49760437011719,111.6214952468872,23
B02997,BMAE-PBZ,0.0,1,172.2886926651001,341.0740684509277,4
B05710,GQD-PLF,0.0,1,222.65639839172363,220.79616317749023,23
B02305,MSB-TBM,0.0,0,0.0,1298.7254219055176,22
B08148,GFAE-NH,0.0,0,0.0,0.0,0
B04142,HJP-SEE,232.06947870254515,4,233.1645719528198,232.06947870254515,4
B08408,BHKA-KBGH,0.0,0,0.0,0.0,3
B10411,CDAE-PBZ,0.0,1,105.3751235961914,0.0,1
B03272,ASO-ATG,0.0,1,225.8521270751953,225.8521270751953,0
B11935,BWN-TIT,0.0,0,0.0,0.0,0
B06248,DQR-MXT,0.0,0,0.0,0.0,1
B07755,BZU-ET,0.0,2,93.49069271087646,0.0,22
B05399,GBG-TKNR,0.0,2,242.59064178466798,243.359476852417,4
B10523,CKP-ROU,0.0,7,111.6272050857544,331.7543483734131,4
B06930,ASO-VSD,0.0,1,196.6724630355835,196.6724630355835,0
B07495,BDC-BSAE,0.0,0,0.0,614.3897472381591,23
B05809,BGAE-SOAE,0.0,2,210.31648902893068,420.2215744018555,23
B03368,BALU-KUR,0.0,3,723.9992042541504,1087.7302974700929,4
B04466,MRGA-NLDA,0.0,10,163.38987226486205,658.7837303161621,1
B06529,AF-TDL,0.0,0,0.0,0.0,0
B03555,KYN-VLDI,0.0,2,936.0587322235107,779.369631767273,22
B13609,ERN-KTYM,0.0,5,470.28755340576174,458.66265258789065,4
B02114,BVA-NALR,0.0,1,417.77010269165044,0.0,2
B12282,CNB-NDLS,0.0,3,383.0931457519531,383.0931457519531,0
B02092,NMDR-TKF,0.0,1,161.8065397262573,317.3787034988403,22
B08710,BBT-BRPK,0.0,1,137.14877014160157,137.14877014160157,0
B09968,GHY-KYQ,0.0,1,205.35626258850098,0.0,2
B04996,HFZ-HTCY,0.0,0,0.0,357.702562713623,4
B05475,CDG-UMB,0.0,0,0.0,0.0,0
B02406,KOK-TNP,0.0,1,170.08097553253174,0.0,2
B03372,ARA-DNR,0.0,9,220.11683235168456,219.55366859436035,3
B04641,KGP-TATA,0.0,3,303.1807296752929,303.1807296752929,0
B14485,GOF-GQD,0.0,1,100.23253197669983,99.9744414806366,23
