block_id,section_id,date,maintenance_type,planned_start,planned_end,planned_duration_min,required_asset_type,priority,weather,actual_duration_min,overrun_min,overrun_flag
B05725,PDA-SLG,2023-01-08,Track Repair,02:00,05:02,182.5,Tamping Machine,Low,Clear,180.8,-1.7,0
B06504,HPG-YKA,2023-01-08,Track Repair,23:00,01:43,163.4,Tamping Machine,Medium,Heavy Rain,198.6,35.2,1
B05539,BNAA-CDP,2023-01-08,Points Renewal,02:00,06:09,249.2,Rail Crane,Low,Clear,264.7,15.4,1
B10523,CKP-ROU,2023-01-08,Signal Maintenance,04:00,05:38,98.2,Tower Wagon,Low,Clear,111.3,13.1,1
B11876,BMG-DTK,2023-01-08,Signal Maintenance,22:00,23:45,105.6,Tower Wagon,Medium,Clear,155.4,49.8,1
B12356,MCI-RDM,2023-01-08,Track Repair,03:00,06:09,189.4,Tamping Machine,Low,Fog,225.3,35.9,1
B04844,GGC-SWM,2023-01-08,Track Stabilization,01:00,03:56,176.4,Dynamic Track Stabilizer,Low,Clear,214.4,38.1,1
B01013,DKDP-HT,2023-01-09,Rail Welding,02:00,03:36,96.1,Rail Crane,Low,Clear,120.9,24.8,1
B12318,ASKR-GUMA,2023-01-09,Points Renewal,22:00,01:27,207.9,Rail Crane,Low,Heavy Rain,233.2,25.3,1
B03171,BNKA-PNCB,2023-01-09,Ballast Renewal,23:00,02:03,183.8,Ballast Regulator,Low,Fog,225.0,41.1,1
B14348,KMT-WL,2023-01-09,Track Repair,04:00,06:28,148.7,Tamping Machine,Low,Light Rain,192.1,43.4,1
B06869,BPAE-JOX,2023-01-09,Points Renewal,03:00,05:43,163.4,Rail Crane,Low,Clear,145.6,-17.8,0
B02088,CMP-PV,2023-01-09,Signal Maintenance,00:00,01:46,106.6,Tower Wagon,Medium,Clear,120.9,14.3,1
B14703,BGRD-SXC,2023-01-09,Points Renewal,01:00,03:51,171.1,Rail Crane,Low,Clear,146.1,-25.0,0
B07996,BIRA-GUMA,2023-01-09,Points Renewal,01:00,04:20,200.8,Rail Crane,Low,Extreme Heat,237.0,36.2,1
B10832,BGL-MYHT,2023-01-09,Points Renewal,02:00,04:26,146.7,Rail Crane,Low,Clear,121.7,-25.0,0
B03346,KTE-STA,2023-01-09,Track Repair,23:00,02:32,212.2,Tamping Machine,Low,Clear,227.1,14.9,1
B13732,BTE-MTJ,2023-01-09,Points Renewal,00:00,02:54,174.3,Rail Crane,Low,Clear,172.3,-2.1,0
B11958,BNAA-BNJ,2023-01-09,Signal Maintenance,01:00,02:38,98.1,Tower Wagon,Low,Clear,90.2,-7.9,0
B06806,DIVA-KOPR,2023-01-09,Rail Welding,03:00,04:29,89.4,Rail Crane,Medium,Clear,102.9,13.5,1
B06950,NCB-NOQ,2023-01-09,Signal Maintenance,00:00,01:35,95.9,Tower Wagon,Low,Clear,111.1,15.2,1
B09170,MJ-PMY,2023-01-09,Ballast Renewal,02:00,05:39,219.4,Ballast Regulator,Low,Heavy Rain,287.6,68.3,1
B00105,MPK-MS,2023-01-09,Track Stabilization,22:00,00:28,148.2,Dynamic Track Stabilizer,Medium,Extreme Heat,125.5,-22.7,0
B07785,ANVR-CNJ,2023-01-10,Track Repair,03:00,05:36,156.6,Tamping Machine,Low,Clear,148.2,-8.4,0
B08021,HLR-NH,2023-01-10,Track Stabilization,02:00,04:38,159.0,Dynamic Track Stabilizer,Medium,Fog,178.4,19.5,1
B14242,KYN-NK,2023-01-10,Track Repair,01:00,03:11,131.5,Tamping Machine,Low,Light Rain,145.6,14.1,1
B05731,NVS-ST,2023-01-10,OHE Maintenance,03:00,05:12,132.9,OHE Maintenance Special,Low,Fog,167.2,34.3,1
B10406,DDJ-SDAH,2023-01-10,Points Renewal,04:00,07:27,207.9,Rail Crane,Low,Clear,200.2,-7.6,0
B00870,BOP-NPMR,2023-01-10,Track Repair,00:00,03:50,230.9,Tamping Machine,Low,Fog,205.9,-25.0,0
B11401,MAF-TO,2023-01-10,OHE Maintenance,01:00,03:13,133.2,OHE Maintenance Special,Low,Fog,114.6,-18.7,0
B11890,BRPA-MBE,2023-01-10,Track Stabilization,00:00,02:26,146.8,Dynamic Track Stabilizer,Low,Extreme Heat,162.0,15.2,1
B08304,KDH-SEP,2023-01-10,Track Repair,00:00,03:06,186.1,Tamping Machine,Medium,Light Rain,191.4,5.3,0
B14402,KGP-SRC,2023-01-10,Ballast Renewal,03:00,05:57,177.1,Ballast Regulator,Low,Heavy Rain,163.3,-13.8,0
B13574,BLN-SDAH,2023-01-10,Rail Welding,23:00,00:34,94.6,Rail Crane,High,Clear,131.4,36.8,1
B11409,BGAE-JIT,2023-01-10,Rail Welding,23:00,00:25,86.0,Rail Crane,Low,Clear,104.7,18.8,1
B14550,CLA-MTN,2023-01-10,Ballast Renewal,04:00,07:47,227.9,Ballast Regulator,High,Clear,228.1,0.2,0
B06292,BHPA-MGT,2023-01-10,Rail Welding,01:00,02:39,99.2,Rail Crane,Low,Clear,154.0,54.8,1
B07190,ASN-DGR,2023-01-10,Points Renewal,00:00,04:12,252.5,Rail Crane,Low,Clear,278.4,25.9,1
B06027,DPU-LMG,2023-01-11,Track Repair,01:00,03:49,170.0,Tamping Machine,Low,Clear,196.4,26.4,1
B02770,BRP-MAK,2023-01-11,OHE Maintenance,01:00,04:07,187.2,OHE Maintenance Special,Medium,Clear,183.8,-3.4,0
B06200,KLVA-MBQ,2023-01-11,OHE Maintenance,23:00,01:00,120.1,OHE Maintenance Special,Medium,Extreme Heat,104.1,-16.0,0
B13991,CGA-FLR,2023-01-11,Track Stabilization,00:00,02:22,142.7,Dynamic Track Stabilizer,Medium,Clear,135.0,-7.7,0
B13624,DH-GURN,2023-01-11,Rail Welding,04:00,05:35,95.9,Rail Crane,Low,Light Rain,117.6,21.7,1
B10600,DLI-DSA,2023-01-11,Signal Maintenance,23:00,00:38,98.4,Tower Wagon,Medium,Clear,127.3,28.9,1
B10018,MSH-PNU,2023-01-11,Ballast Renewal,03:00,06:16,196.4,Ballast Regulator,Low,Heavy Rain,205.1,8.6,0
B13119,BZA-OGL,2023-01-11,Signal Maintenance,02:00,03:13,73.5,Tower Wagon,Low,Clear,84.5,11.0,1
B11373,DUAN-RDU,2023-01-11,OHE Maintenance,00:00,02:43,163.6,OHE Maintenance Special,Low,Clear,156.5,-7.1,0
B03369,GKL-MDN,2023-01-11,Signal Maintenance,23:00,00:44,104.6,Tower Wagon,Low,Clear,111.7,7.1,0
B01220,BHKA-KBGH,2023-01-11,Points Renewal,03:00,05:49,169.6,Rail Crane,Low,Light Rain,171.1,1.5,0
B09737,GC-VVH,2023-01-11,Ballast Renewal,04:00,07:57,237.1,Ballast Regulator,High,Light Rain,261.6,24.5,1
B06953,KK-SVJR,2023-01-11,Track Stabilization,23:00,00:54,114.3,Dynamic Track Stabilizer,Low,Clear,129.6,15.3,1
B03846,KLNT-SMAE,2023-01-11,Track Stabilization,01:00,03:53,173.9,Dynamic Track Stabilizer,Low,Clear,177.6,3.6,0
B05358,BZA-OGL,2023-01-11,OHE Maintenance,01:00,03:03,123.6,OHE Maintenance Special,Low,Clear,104.7,-18.9,0
B07209,BIRA-DTK,2023-01-12,Signal Maintenance,02:00,03:26,86.4,Tower Wagon,Low,Clear,98.3,12.0,1
B12691,DMLE-KJU,2023-01-12,Points Renewal,03:00,06:20,200.9,Rail Crane,Low,Clear,228.6,27.8,1
B08377,DUAN-RDU,2023-01-12,Track Stabilization,04:00,06:58,178.4,Dynamic Track Stabilizer,Low,Clear,166.3,-12.0,0
B07746,MKK-MS,2023-01-12,OHE Maintenance,00:00,02:35,155.1,OHE Maintenance Special,Low,Extreme Heat,189.3,34.2,1
B11383,PTLR-TRL,2023-01-12,Rail Welding,01:00,02:30,90.0,Rail Crane,Medium,Clear,124.2,34.1,1
B01512,NAD-RTM,2023-01-12,Track Stabilization,22:00,00:28,148.2,Dynamic Track Stabilizer,Low,Heavy Rain,201.9,53.7,1
B13340,BBS-CTC,2023-01-12,Points Renewal,03:00,06:31,211.8,Rail Crane,Medium,Light Rain,215.3,3.5,0
B02947,DWR-UBL,2023-01-12,Rail Welding,02:00,03:05,65.0,Rail Crane,Low,Clear,90.2,25.2,1
B10835,MLDT-NFK,2023-01-12,Signal Maintenance,03:00,04:48,108.6,Tower Wagon,Low,Clear,148.7,40.1,1
B01999,FDB-FDN,2023-01-12,Ballast Renewal,00:00,04:04,244.1,Ballast Regulator,Low,Clear,251.7,7.5,0
B11233,KOK-TNP,2023-01-12,Rail Welding,22:00,23:36,96.6,Rail Crane,Medium,Clear,109.5,12.9,1
B14543,HHR-MMG,2023-01-12,Ballast Renewal,01:00,03:43,164.0,Ballast Regulator,Medium,Clear,208.5,44.5,1
B10300,BT-HHR,2023-01-12,Signal Maintenance,22:00,23:37,97.8,Tower Wagon,Medium,Clear,119.6,21.9,1
B07492,KDV-VSD,2023-01-12,Track Stabilization,00:00,02:54,174.6,Dynamic Track Stabilizer,Low,Clear,195.6,21.1,1
B11715,BL-NVS,2023-01-12,Points Renewal,02:00,05:08,188.5,Rail Crane,Low,Clear,212.2,23.7,1
B04476,GBG-MSL,2023-01-12,Signal Maintenance,00:00,01:32,92.6,Tower Wagon,Low,Clear,70.3,-22.3,0
B00408,UMB-YJUD,2023-01-12,Ballast Renewal,03:00,06:31,211.2,Ballast Regulator,Low,Fog,276.5,65.3,1
B13401,BNKA-PNCB,2023-01-12,Points Renewal,23:00,02:10,190.5,Rail Crane,Low,Extreme Heat,199.2,8.7,0
B11713,NZM-TKJ,2023-01-12,Ballast Renewal,04:00,07:35,215.7,Ballast Regulator,Low,Clear,211.5,-4.2,0
B04323,CHE-PSA,2023-01-13,Signal Maintenance,22:00,23:56,116.8,Tower Wagon,Low,Light Rain,125.0,8.2,0
B09768,CTC-JJKR,2023-01-13,Track Stabilization,23:00,01:06,126.6,Dynamic Track Stabilizer,Low,Clear,142.6,16.0,1
B11226,DIVA-KOPR,2023-01-13,Rail Welding,01:00,02:33,93.6,Rail Crane,Medium,Clear,119.9,26.3,1
B03693,GDY-SP,2023-01-13,Track Stabilization,22:00,00:36,157.0,Dynamic Track Stabilizer,Medium,Light Rain,160.2,3.2,0
B10552,ST-UDN,2023-01-13,Points Renewal,03:00,05:40,161.0,Rail Crane,Low,Light Rain,170.9,10.0,0
B10492,GWL-MRA,2023-01-13,Track Repair,23:00,01:51,171.7,Tamping Machine,Low,Clear,149.4,-22.3,0
B04695,TNP-TVT,2023-01-13,Rail Welding,01:00,02:12,72.2,Rail Crane,Medium,Light Rain,99.1,26.9,1
B08367,GQD-PLF,2023-01-13,Ballast Renewal,01:00,04:31,211.7,Ballast Regulator,Low,Clear,254.2,42.5,1
B07842,FNB-NCHS,2023-01-13,OHE Maintenance,00:00,01:48,108.8,OHE Maintenance Special,Medium,Extreme Heat,149.3,40.5,1
B12224,KAVM-WCN,2023-01-13,Points Renewal,03:00,05:38,158.3,Rail Crane,Low,Clear,198.4,40.1,1
B13250,CLA-DR,2023-01-13,Points Renewal,03:00,05:25,145.2,Rail Crane,Low,Clear,131.3,-13.8,0
B10267,BPN-MIJ,2023-01-13,Points Renewal,01:00,04:45,225.2,Rail Crane,Low,Clear,230.0,4.8,0
B09576,ABU-TMVL,2023-01-13,Track Stabilization,04:00,06:20,140.6,Dynamic Track Stabilizer,Medium,Extreme Heat,115.6,-25.0,0
B08629,MKP-STA,2023-01-14,Points Renewal,01:00,04:09,189.9,Rail Crane,Low,Clear,216.8,26.9,1
B01420,BHS-BPL,2023-01-14,OHE Maintenance,02:00,04:40,160.9,OHE Maintenance Special,Low,Light Rain,162.1,1.2,0
B01752,MTJ-RKM,2023-01-14,Points Renewal,01:00,04:04,185.0,Rail Crane,Low,Clear,203.9,18.9,1
B08081,SUNR-VG,2023-01-14,Track Repair,00:00,03:49,229.1,Tamping Machine,Low,Clear,217.8,-11.3,0
B05726,DHNE-KRNT,2023-01-14,Signal Maintenance,23:00,00:36,96.7,Tower Wagon,Low,Light Rain,128.6,31.9,1
B00158,KMZA-MPE,2023-01-14,Track Stabilization,01:00,04:01,181.2,Dynamic Track Stabilizer,Low,Clear,213.9,32.7,1
B04251,ABH-KYN,2023-01-14,Ballast Renewal,22:00,01:20,201.0,Ballast Regulator,Medium,Light Rain,221.4,20.4,1
B05687,HNB-TKF,2023-01-14,Points Renewal,01:00,03:53,173.2,Rail Crane,Low,Clear,189.2,16.0,1
B08600,CSMT-DR,2023-01-15,OHE Maintenance,02:00,03:44,104.8,OHE Maintenance Special,Low,Extreme Heat,90.7,-14.1,0
B01931,DKDP-HT,2023-01-15,Ballast Renewal,23:00,03:20,260.1,Ballast Regulator,Low,Extreme Heat,304.6,44.5,1
B05803,BZA-EE,2023-01-15,Points Renewal,00:00,03:51,231.8,Rail Crane,Medium,Clear,232.9,1.1,0
B04463,MSU-PLMG,2023-01-15,Signal Maintenance,22:00,23:30,90.8,Tower Wagon,Low,Clear,106.2,15.4,1
B07133,CNJ-SBB,2023-01-15,Ballast Renewal,01:00,05:00,240.4,Ballast Regulator,Low,Clear,267.4,27.0,1
B09828,BHS-BPL,2023-01-15,Signal Maintenance,23:00,00:06,66.2,Tower Wagon,Low,Clear,63.5,-2.7,0
B08817,NAD-UJN,2023-01-15,Rail Welding,01:00,02:47,107.8,Rail Crane,Low,Clear,120.8,13.0,1
B00908,AGC-MTJ,2023-01-15,Track Repair,02:00,04:32,152.7,Tamping Machine,Low,Clear,155.4,2.6,0
B04575,KUR-PURI,2023-01-15,OHE Maintenance,01:00,03:31,151.3,OHE Maintenance Special,Low,Fog,167.6,16.3,1
B10555,BVH-FDN,2023-01-15,Signal Maintenance,22:00,23:50,110.9,Tower Wagon,Low,Clear,129.5,18.6,1
B09873,DAPD-KSWD,2023-01-15,Points Renewal,01:00,04:57,237.3,Rail Crane,Low,Heavy Rain,256.1,18.8,1
B06186,ABH-BUD,2023-01-15,Track Repair,01:00,04:05,185.4,Tamping Machine,Medium,Clear,203.2,17.7,1
B01157,NCB-NOQ,2023-01-15,Rail Welding,04:00,05:42,102.2,Rail Crane,Low,Light Rain,99.1,-3.0,0
B08915,AVD-HC,2023-01-15,Points Renewal,23:00,02:08,188.7,Rail Crane,Medium,Clear,187.0,-1.7,0
B09912,CLA-MTN,2023-01-15,Rail Welding,01:00,02:49,109.2,Rail Crane,High,Light Rain,96.3,-12.9,0
B00224,BBAE-BHR,2023-01-16,Ballast Renewal,01:00,03:30,150.9,Ballast Regulator,Medium,Clear,135.8,-15.1,0
B03096,VSKP-VZM,2023-01-16,Signal Maintenance,04:00,05:45,106.0,Tower Wagon,Medium,Clear,155.3,49.3,1
B07505,BGRD-LBTL,2023-01-16,Signal Maintenance,03:00,04:15,75.9,Tower Wagon,Low,Clear,70.7,-5.1,0
B06044,DMO-SGO,2023-01-16,Track Stabilization,23:00,01:51,171.3,Dynamic Track Stabilizer,Low,Fog,183.8,12.6,1
