date,asset_id,available,available_from,available_until,reason_unavailable
2023-01-20,TO243,YES,00:00,23:59,
2023-01-20,TO256,YES,00:00,23:59,
2023-01-20,TO287,YES,00:00,23:59,
2023-01-22,DY017,YES,00:00,23:59,
2023-01-22,DY379,YES,00:00,23:59,
2023-01-22,OH059,YES,00:00,23:59,
2023-01-22,OH207,YES,00:00,23:59,
2023-01-22,OH221,YES,00:00,23:59,
2023-01-22,OH270,YES,00:00,23:59,
2023-01-22,OH384,YES,00:00,23:59,
2023-01-22,RA156,YES,00:00,23:59,
2023-01-22,RA277,NO,,,Breakdown
2023-01-22,TA063,YES,00:00,23:59,
2023-01-22,TA075,YES,00:00,23:59,
2023-01-22,TA282,YES,00:00,23:59,
2023-01-22,TA396,YES,00:00,23:59,
2023-01-22,TO030,YES,00:00,23:59,
2023-01-22,TO032,YES,00:00,23:59,
2023-01-22,TO350,YES,00:00,23:59,
2023-01-24,BA159,YES,00:00,23:59,
2023-01-24,BA208,YES,00:00,23:59,
2023-01-24,BA358,YES,00:00,23:59,
2023-01-24,DY161,YES,00:00,23:59,
2023-01-24,DY178,YES,00:00,23:59,
2023-01-24,DY244,YES,00:00,23:59,
2023-01-24,OH093,YES,00:00,23:59,
2023-01-24,OH213,YES,00:00,23:59,
2023-01-24,OH239,YES,00:00,23:59,
2023-01-24,OH347,YES,00:00,23:59,
2023-01-24,OH365,YES,00:00,23:59,
2023-01-24,RA011,YES,00:00,23:59,
2023-01-24,RA376,YES,00:00,23:59,
2023-01-24,TA089,YES,00:00,23:59,
2023-01-24,TO350,NO,,,In Use Elsewhere
2023-01-25,BA102,YES,00:00,23:59,
2023-01-25,BA151,YES,00:00,23:59,
2023-01-25,BA249,YES,00:00,23:59,
2023-01-25,BA383,YES,00:00,23:59,
2023-01-25,DY096,YES,00:00,23:59,
2023-01-25,DY152,YES,00:00,23:59,
2023-01-25,DY279,YES,00:00,23:59,
2023-01-25,DY319,YES,00:00,23:59,
2023-01-25,DY353,YES,00:00,23:59,
2023-01-25,DY389,YES,00:00,23:59,
2023-01-25,OH052,YES,00:00,23:59,
2023-01-25,OH092,YES,00:00,23:59,
2023-01-25,OH160,YES,00:00,23:59,
2023-01-25,OH213,YES,00:00,23:59,
2023-01-25,OH296,YES,00:00,23:59,
2023-01-25,OH313,YES,00:00,23:59,
2023-01-25,OH359,YES,00:00,23:59,
2023-01-25,OH382,YES,00:00,23:59,
2023-01-25,RA031,YES,00:00,23:59,
2023-01-25,RA073,YES,00:00,23:59,
2023-01-25,RA114,YES,00:00,23:59,
2023-01-25,RA156,NO,,,Scheduled Maintenance
2023-01-25,RA168,YES,00:00,23:59,
2023-01-25,RA295,YES,00:00,23:59,
2023-01-25,RA320,YES,00:00,23:59,
2023-01-25,RA334,YES,00:00,23:59,
2023-01-25,TA049,YES,00:00,23:59,
2023-01-25,TA227,YES,00:00,23:59,
2023-01-25,TO033,YES,00:00,23:59,
2023-01-25,TO047,YES,00:00,23:59,
2023-01-25,TO100,NO,,,In Use Elsewhere
2023-01-25,TO129,YES,00:00,23:59,
2023-01-26,BA066,YES,00:00,23:59,
2023-01-26,BA299,YES,00:00,23:59,
2023-01-26,DY045,YES,00:00,23:59,
2023-01-26,DY115,YES,00:00,23:59,
2023-01-26,OH025,YES,00:00,23:59,
2023-01-26,OH213,YES,00:00,23:59,
2023-01-26,OH253,YES,00:00,23:59,
2023-01-26,OH368,NO,,,Breakdown
2023-01-26,RA164,YES,00:00,23:59,
2023-01-26,RA261,YES,00:00,23:59,
2023-01-26,RA397,YES,00:00,23:59,
2023-01-26,TA065,YES,00:00,23:59,
2023-01-26,TA098,YES,00:00,23:59,
2023-01-26,TA285,YES,00:00,23:59,
2023-01-28,BA113,NO,,,Breakdown
2023-01-28,BA153,YES,00:00,23:59,
2023-01-28,BA259,YES,00:00,23:59,
2023-01-28,BA314,YES,00:00,23:59,
2023-01-28,DY124,YES,00:00,23:59,
2023-01-28,DY248,YES,00:00,23:59,
2023-01-28,OH023,NO,,,Scheduled Maintenance
2023-01-28,OH347,YES,00:00,23:59,
2023-01-28,RA037,YES,00:00,23:59,
2023-01-28,RA087,YES,00:00,23:59,
2023-01-28,RA231,YES,00:00,23:59,
2023-01-28,RA339,YES,00:00,23:59,
2023-01-28,TA003,NO,,,In Use Elsewhere
2023-01-28,TA049,NO,,,In Use Elsewhere
2023-01-28,TA068,NO,,,In Use Elsewhere
2023-01-28,TA233,YES,00:00,23:59,
2023-01-28,TA280,YES,00:00,23:59,
2023-01-28,TO002,YES,00:00,23:59,
2023-01-28,TO021,YES,00:00,23:59,
2023-01-28,TO179,NO,,,Breakdown
2023-01-28,TO350,YES,00:00,23:59,
2023-01-29,BA293,YES,00:00,23:59,
2023-01-29,BA323,YES,00:00,23:59,
2023-01-29,BA332,NO,,,Breakdown
2023-01-29,DY096,YES,00:00,23:59,
2023-01-29,DY105,YES,00:00,23:59,
2023-01-29,DY121,YES,00:00,23:59,
2023-01-29,DY244,YES,00:00,23:59,
2023-01-29,DY345,YES,00:00,23:59,
2023-01-29,OH007,YES,00:00,23:59,
2023-01-29,OH026,YES,00:00,23:59,
2023-01-29,OH082,YES,00:00,23:59,
2023-01-29,OH245,YES,00:00,23:59,
2023-01-29,OH333,NO,,,In Use Elsewhere
2023-01-29,RA031,YES,00:00,23:59,
2023-01-29,RA231,NO,,,Breakdown
2023-01-29,RA261,YES,00:00,23:59,
2023-01-29,RA388,YES,00:00,23:59,
2023-01-29,TA275,YES,00:00,23:59,
2023-01-29,TA292,YES,00:00,23:59,
2023-01-29,TO028,YES,00:00,23:59,
2023-01-29,TO287,YES,00:00,23:59,
2023-01-29,TO316,YES,00:00,23:59,
2023-01-30,BA151,NO,,,Scheduled Maintenance
2023-01-30,BA203,NO,,,Breakdown
2023-01-30,BA266,YES,00:00,23:59,
2023-01-30,DY017,YES,00:00,23:59,
2023-01-30,DY138,YES,00:00,23:59,
2023-01-30,DY184,YES,00:00,23:59,
2023-01-30,DY281,YES,00:00,23:59,
2023-01-30,DY331,YES,00:00,23:59,
2023-01-30,DY353,YES,00:00,23:59,
2023-01-30,OH059,YES,00:00,23:59,
2023-01-30,OH093,YES,00:00,23:59,
2023-01-30,OH160,YES,00:00,23:59,
2023-01-30,OH207,YES,00:00,23:59,
2023-01-30,OH352,NO,,,Breakdown
2023-01-30,RA164,YES,00:00,23:59,
2023-01-30,RA168,YES,00:00,23:59,
2023-01-30,RA378,YES,00:00,23:59,
2023-01-30,TA054,YES,00:00,23:59,
2023-01-30,TA148,YES,00:00,23:59,
2023-01-30,TA222,YES,00:00,23:59,
2023-01-30,TO032,YES,00:00,23:59,
2023-01-30,TO033,YES,00:00,23:59,
2023-01-30,TO123,YES,00:00,23:59,
2023-01-30,TO258,YES,00:00,23:59,
2023-01-30,TO317,YES,00:00,23:59,
2023-01-30,TO335,YES,00:00,23:59,
2023-01-31,BA113,YES,00:00,23:59,
2023-01-31,BA144,YES,00:00,23:59,
2023-01-31,BA299,YES,00:00,23:59,
2023-01-31,BA300,YES,00:00,23:59,
2023-01-31,DY061,YES,00:00,23:59,
2023-01-31,DY379,YES,00:00,23:59,
2023-01-31,OH111,YES,00:00,23:59,
2023-01-31,OH173,YES,00:00,23:59,
2023-01-31,OH195,YES,00:00,23:59,
2023-01-31,RA085,YES,00:00,23:59,
2023-01-31,RA231,YES,00:00,23:59,
2023-01-31,RA376,YES,00:00,23:59,
2023-01-31,RA391,YES,00:00,23:59,
2023-01-31,TA310,YES,00:00,23:59,
2023-01-31,TA341,NO,,,Breakdown
2023-01-31,TO021,YES,00:00,23:59,
2023-01-31,TO056,YES,00:00,23:59,
2023-01-31,TO100,YES,00:00,23:59,
2023-01-31,TO112,YES,00:00,23:59,
2023-02-02,BA058,YES,00:00,23:59,
2023-02-02,BA066,YES,00:00,23:59,
2023-02-02,BA186,YES,00:00,23:59,
2023-02-02,BA274,NO,,,Breakdown
2023-02-02,DY157,YES,00:00,23:59,
2023-02-02,OH010,YES,00:00,23:59,
2023-02-02,OH173,YES,00:00,23:59,
2023-02-02,OH298,NO,,,Breakdown
2023-02-02,OH343,YES,00:00,23:59,
2023-02-02,OH357,YES,00:00,23:59,
2023-02-02,RA087,YES,00:00,23:59,
2023-02-02,RA286,YES,00:00,23:59,
2023-02-02,TA063,YES,00:00,23:59,
2023-02-02,TA150,NO,,,Breakdown
2023-02-02,TO038,YES,00:00,23:59,
2023-02-02,TO047,NO,,,Scheduled Maintenance
2023-02-02,TO267,YES,00:00,23:59,
2023-02-03,BA174,YES,00:00,23:59,
2023-02-03,BA274,YES,00:00,23:59,
2023-02-03,BA323,YES,00:00,23:59,
2023-02-03,DY060,YES,00:00,23:59,
2023-02-03,OH050,YES,00:00,23:59,
2023-02-03,OH086,YES,00:00,23:59,
2023-02-03,OH183,YES,00:00,23:59,
2023-02-03,OH189,YES,00:00,23:59,
2023-02-03,RA081,YES,00:00,23:59,
2023-02-03,RA164,YES,00:00,23:59,
2023-02-03,RA200,YES,00:00,23:59,
2023-02-03,RA373,YES,00:00,23:59,
2023-02-03,RA378,YES,00:00,23:59,
2023-02-03,TA068,YES,00:00,23:59,
2023-02-03,TA199,YES,00:00,23:59,
2023-02-03,TO041,YES,00:00,23:59,
2023-02-03,TO287,NO,,,Scheduled Maintenance
2023-02-05,BA170,YES,00:00,23:59,
2023-02-05,DY040,YES,00:00,23:59,
2023-02-05,DY122,YES,00:00,23:59,
2023-02-05,DY133,YES,00:00,23:59,
2023-02-05,DY161,YES,00:00,23:59,
2023-02-05,OH372,YES,00:00,23:59,
2023-02-05,RA119,YES,00:00,23:59,
2023-02-05,RA192,YES,00:00,23:59,
2023-02-05,RA273,YES,00:00,23:59,
2023-02-05,RA340,YES,00:00,23:59,
2023-02-05,TA229,YES,00:00,23:59,
2023-02-05,TA292,NO,,,Scheduled Maintenance
2023-02-05,TO100,YES,00:00,23:59,
2023-02-05,TO112,YES,00:00,23:59,
2023-02-05,TO146,YES,00:00,23:59,
2023-02-05,TO267,YES,00:00,23:59,
2023-02-06,BA208,YES,00:00,23:59,
2023-02-06,BA358,YES,00:00,23:59,
2023-02-06,BA377,YES,00:00,23:59,
2023-02-06,DY061,YES,00:00,23:59,
2023-02-06,DY181,YES,00:00,23:59,
2023-02-06,DY235,YES,00:00,23:59,
2023-02-06,DY371,YES,00:00,23:59,
2023-02-06,OH142,YES,00:00,23:59,
2023-02-06,OH158,YES,00:00,23:59,
2023-02-06,OH294,YES,00:00,23:59,
2023-02-06,OH338,YES,00:00,23:59,
2023-02-06,OH390,YES,00:00,23:59,
2023-02-06,RA155,NO,,,Breakdown
2023-02-06,RA363,YES,00:00,23:59,
2023-02-06,RA378,YES,00:00,23:59,
2023-02-06,TA120,YES,00:00,23:59,
2023-02-06,TA154,YES,00:00,23:59,
2023-02-06,TO100,NO,,,Breakdown
2023-02-06,TO112,YES,00:00,23:59,
2023-02-06,TO258,YES,00:00,23:59,
2023-02-08,BA095,YES,00:00,23:59,
2023-02-08,BA144,YES,00:00,23:59,
2023-02-08,DY014,YES,00:00,23:59,
2023-02-08,DY091,YES,00:00,23:59,
2023-02-08,DY356,YES,00:00,23:59,
2023-02-08,DY399,YES,00:00,23:59,
2023-02-08,OH076,YES,00:00,23:59,
2023-02-08,OH077,YES,00:00,23:59,
2023-02-08,OH195,YES,00:00,23:59,
2023-02-08,RA053,NO,,,In Use Elsewhere
2023-02-08,RA087,YES,00:00,23:59,
2023-02-08,RA168,YES,00:00,23:59,
2023-02-08,TA068,NO,,,Scheduled Maintenance
2023-02-08,TA212,YES,00:00,23:59,
2023-02-08,TO287,YES,00:00,23:59,
2023-02-09,BA084,YES,00:00,23:59,
2023-02-09,DY124,YES,00:00,23:59,
2023-02-09,DY178,YES,00:00,23:59,
2023-02-09,DY184,YES,00:00,23:59,
2023-02-09,DY194,YES,00:00,23:59,
2023-02-09,DY201,YES,00:00,23:59,
