section_id,from_station,to_station,hour_of_day,trains_count,traffic_level
AAP-JJK,AAP,JJK,7,1,LOW
AAP-JJK,AAP,JJK,8,1,LOW
AAP-JJK,AAP,JJK,10,1,LOW
AAP-JJK,AAP,JJK,15,1,LOW
AAP-JJK,AAP,JJK,17,1,LOW
AAP-JJK,AAP,JJK,19,1,LOW
AAP-JJK,AAP,JJK,20,1,LOW
AAP-RURA,AAP,RURA,6,1,LOW
AAP-RURA,AAP,RURA,7,1,LOW
AAP-RURA,AAP,RURA,8,1,LOW
AAP-RURA,AAP,RURA,10,1,LOW
AAP-RURA,AAP,RURA,15,1,LOW
AAP-RURA,AAP,RURA,17,1,LOW
AAP-RURA,AAP,RURA,19,1,LOW
AAP-RURA,AAP,RURA,20,1,LOW
AAR-BUBR,AAR,BUBR,10,1,LOW
AAR-BUBR,AAR,BUBR,17,1,LOW
AAR-LAA,AAR,LAA,10,1,LOW
AAR-LAA,AAR,LAA,17,1,LOW
AAR-PDF,AAR,PDF,7,1,LOW
AAR-PDF,AAR,PDF,18,1,LOW
AAR-PFL,AAR,PFL,8,1,LOW
AAR-PFL,AAR,PFL,18,1,LOW
AAR-SIOB,AAR,SIOB,13,1,LOW
AAR-SIOB,AAR,SIOB,20,1,LOW
AAR-SNLR,AAR,SNLR,13,1,LOW
AAR-SNLR,AAR,SNLR,21,1,LOW
AAS-JWL,AAS,JWL,0,1,LOW
AAS-JWL,AAS,JWL,1,1,LOW
AAS-JWL,AAS,JWL,6,1,LOW
AAS-JWL,AAS,JWL,11,1,LOW
AAS-JWL,AAS,JWL,12,1,LOW
AAS-JWL,AAS,JWL,14,1,LOW
AAS-JWL,AAS,JWL,15,1,LOW
AAS-JWL,AAS,JWL,18,1,LOW
AAS-KSW,AAS,KSW,0,1,LOW
AAS-KSW,AAS,KSW,1,1,LOW
AAS-KSW,AAS,KSW,6,1,LOW
AAS-KSW,AAS,KSW,11,1,LOW
AAS-KSW,AAS,KSW,12,1,LOW
AAS-KSW,AAS,KSW,14,1,LOW
AAS-KSW,AAS,KSW,15,1,LOW
AAS-KSW,AAS,KSW,18,1,LOW
AAY-NCJ,AAY,NCJ,4,1,LOW
AAY-NCJ,AAY,NCJ,5,1,LOW
AAY-NCJ,AAY,NCJ,8,1,LOW
AAY-NCJ,AAY,NCJ,18,1,LOW
AAY-NCJ,AAY,NCJ,20,1,LOW
AAY-NCJ,AAY,NCJ,22,1,LOW
AAY-NPK,AAY,NPK,7,2,LOW
AAY-NPK,AAY,NPK,8,1,LOW
AAY-NPK,AAY,NPK,18,2,LOW
AAY-NPK,AAY,NPK,19,1,LOW
AAY-THX,AAY,THX,7,1,LOW
AAY-THX,AAY,THX,8,1,LOW
AAY-THX,AAY,THX,18,1,LOW
AAY-THX,AAY,THX,19,1,LOW
AAY-VLY,AAY,VLY,3,1,LOW
AAY-VLY,AAY,VLY,6,1,LOW
AAY-VLY,AAY,VLY,20,1,LOW
AAY-VLY,AAY,VLY,23,1,LOW
AB-GYM,AB,GYM,0,1,LOW
AB-GYM,AB,GYM,1,1,LOW
AB-GYM,AB,GYM,11,1,LOW
AB-GYM,AB,GYM,15,1,LOW
AB-JTJ,AB,JTJ,0,1,LOW
AB-JTJ,AB,JTJ,1,2,LOW
AB-JTJ,AB,JTJ,2,1,LOW
AB-JTJ,AB,JTJ,8,2,LOW
AB-JTJ,AB,JTJ,10,1,LOW
AB-JTJ,AB,JTJ,16,1,LOW
AB-JTJ,AB,JTJ,18,2,LOW
AB-KPD,AB,KPD,1,2,LOW
AB-KPD,AB,KPD,3,1,LOW
AB-KPD,AB,KPD,4,1,LOW
AB-KPD,AB,KPD,6,1,LOW
AB-KPD,AB,KPD,8,1,LOW
AB-KPD,AB,KPD,9,3,MEDIUM
AB-KPD,AB,KPD,10,1,LOW
AB-KPD,AB,KPD,16,1,LOW
AB-KPD,AB,KPD,17,3,MEDIUM
AB-KPD,AB,KPD,19,1,LOW
AB-KPD,AB,KPD,20,1,LOW
AB-KPD,AB,KPD,22,1,LOW
AB-KPD,AB,KPD,23,1,LOW
AB-MPI,AB,MPI,5,1,LOW
AB-MPI,AB,MPI,7,1,LOW
AB-MPI,AB,MPI,20,2,LOW
AB-PCKM,AB,PCKM,7,1,LOW
AB-PCKM,AB,PCKM,10,1,LOW
AB-PCKM,AB,PCKM,14,1,LOW
AB-PCKM,AB,PCKM,19,1,LOW
AB-VGM,AB,VGM,7,1,LOW
AB-VGM,AB,VGM,10,1,LOW
AB-VGM,AB,VGM,13,1,LOW
AB-VGM,AB,VGM,18,1,LOW
AB-VN,AB,VN,0,1,LOW
AB-VN,AB,VN,1,1,LOW
AB-VN,AB,VN,5,2,LOW
AB-VN,AB,VN,6,1,LOW
AB-VN,AB,VN,7,1,LOW
AB-VN,AB,VN,9,1,LOW
AB-VN,AB,VN,10,2,LOW
AB-VN,AB,VN,16,1,LOW
AB-VN,AB,VN,17,2,LOW
AB-VN,AB,VN,20,2,LOW
AB-VN,AB,VN,21,1,LOW
AB-VN,AB,VN,22,1,LOW
ABB-NALR,ABB,NALR,0,1,LOW
ABB-NALR,ABB,NALR,1,1,LOW
ABB-NALR,ABB,NALR,3,1,LOW
ABB-NALR,ABB,NALR,4,5,MEDIUM
ABB-NALR,ABB,NALR,5,7,MEDIUM
ABB-NALR,ABB,NALR,6,7,MEDIUM
ABB-NALR,ABB,NALR,7,8,HIGH
ABB-NALR,ABB,NALR,8,9,HIGH
ABB-NALR,ABB,NALR,9,4,MEDIUM
ABB-NALR,ABB,NALR,10,6,MEDIUM
ABB-NALR,ABB,NALR,11,6,MEDIUM
ABB-NALR,ABB,NALR,12,2,LOW
ABB-NALR,ABB,NALR,13,3,MEDIUM
ABB-NALR,ABB,NALR,14,6,MEDIUM
ABB-NALR,ABB,NALR,15,3,MEDIUM
ABB-NALR,ABB,NALR,16,3,MEDIUM
ABB-NALR,ABB,NALR,17,1,LOW
ABB-NALR,ABB,NALR,18,2,LOW
ABB-NALR,ABB,NALR,19,2,LOW
ABB-NALR,ABB,NALR,20,6,MEDIUM
ABB-NALR,ABB,NALR,21,3,MEDIUM
ABB-NALR,ABB,NALR,22,1,LOW
ABB-NALR,ABB,NALR,23,3,MEDIUM
ABB-SEL,ABB,SEL,0,1,LOW
ABB-SEL,ABB,SEL,1,1,LOW
ABB-SEL,ABB,SEL,3,2,LOW
ABB-SEL,ABB,SEL,4,5,MEDIUM
ABB-SEL,ABB,SEL,5,6,MEDIUM
ABB-SEL,ABB,SEL,6,7,MEDIUM
ABB-SEL,ABB,SEL,7,9,HIGH
ABB-SEL,ABB,SEL,8,8,HIGH
ABB-SEL,ABB,SEL,9,5,MEDIUM
ABB-SEL,ABB,SEL,10,5,MEDIUM
ABB-SEL,ABB,SEL,11,6,MEDIUM
ABB-SEL,ABB,SEL,12,2,LOW
ABB-SEL,ABB,SEL,13,3,MEDIUM
ABB-SEL,ABB,SEL,14,5,MEDIUM
ABB-SEL,ABB,SEL,15,4,MEDIUM
ABB-SEL,ABB,SEL,16,3,MEDIUM
ABB-SEL,ABB,SEL,17,1,LOW
ABB-SEL,ABB,SEL,18,2,LOW
ABB-SEL,ABB,SEL,19,2,LOW
ABB-SEL,ABB,SEL,20,6,MEDIUM
ABB-SEL,ABB,SEL,21,3,MEDIUM
ABB-SEL,ABB,SEL,22,2,LOW
ABB-SEL,ABB,SEL,23,2,LOW
ABD-CLDY,ABD,CLDY,5,1,LOW
ABD-CLDY,ABD,CLDY,8,1,LOW
ABD-CLDY,ABD,CLDY,12,2,LOW
ABD-CLDY,ABD,CLDY,18,1,LOW
ABD-CLDY,ABD,CLDY,20,2,LOW
ABD-SAU,ABD,SAU,5,1,LOW
ABD-SAU,ABD,SAU,8,1,LOW
ABD-SAU,ABD,SAU,12,2,LOW
ABD-SAU,ABD,SAU,19,1,LOW
ABD-SAU,ABD,SAU,20,2,LOW
ABE-BMZ,ABE,BMZ,7,1,LOW
ABE-BMZ,ABE,BMZ,9,1,LOW
ABE-BMZ,ABE,BMZ,15,1,LOW
ABE-BMZ,ABE,BMZ,16,1,LOW
ABE-SMV,ABE,SMV,8,2,LOW
ABE-SMV,ABE,SMV,14,1,LOW
ABE-SMV,ABE,SMV,17,1,LOW
ABFC-BLK,ABFC,BLK,7,1,LOW
ABFC-BLK,ABFC,BLK,8,1,LOW
ABFC-BLK,ABFC,BLK,9,1,LOW
ABFC-BLK,ABFC,BLK,10,1,LOW
ABFC-BLK,ABFC,BLK,12,1,LOW
ABFC-BLK,ABFC,BLK,13,2,LOW
ABFC-BLK,ABFC,BLK,15,2,LOW
ABFC-BLK,ABFC,BLK,17,1,LOW
ABFC-BLK,ABFC,BLK,18,2,LOW
ABFC-NJP,ABFC,NJP,7,1,LOW
ABFC-NJP,ABFC,NJP,9,2,LOW
ABFC-NJP,ABFC,NJP,10,1,LOW
ABFC-NJP,ABFC,NJP,12,1,LOW
ABFC-NJP,ABFC,NJP,13,2,LOW
ABFC-NJP,ABFC,NJP,14,1,LOW
ABFC-NJP,ABFC,NJP,15,1,LOW
ABFC-NJP,ABFC,NJP,16,1,LOW
ABFC-NJP,ABFC,NJP,17,1,LOW
ABFC-NJP,ABFC,NJP,18,1,LOW
ABGT-HSD,ABGT,HSD,0,1,LOW
ABGT-HSD,ABGT,HSD,3,1,LOW
ABGT-HSD,ABGT,HSD,6,1,LOW
ABGT-HSD,ABGT,HSD,12,1,LOW
ABGT-HSD,ABGT,HSD,13,1,LOW
ABGT-HSD,ABGT,HSD,20,1,LOW
ABGT-RGI,ABGT,RGI,1,1,LOW
ABGT-RGI,ABGT,RGI,3,1,LOW
ABGT-RGI,ABGT,RGI,6,1,LOW
ABGT-RGI,ABGT,RGI,12,1,LOW
ABGT-RGI,ABGT,RGI,13,1,LOW
ABGT-RGI,ABGT,RGI,20,1,LOW
ABH-BUD,ABH,BUD,0,6,MEDIUM
ABH-BUD,ABH,BUD,1,2,LOW
ABH-BUD,ABH,BUD,2,3,MEDIUM
ABH-BUD,ABH,BUD,3,1,LOW
ABH-BUD,ABH,BUD,4,1,LOW
ABH-BUD,ABH,BUD,5,5,MEDIUM
ABH-BUD,ABH,BUD,6,9,HIGH
ABH-BUD,ABH,BUD,7,7,MEDIUM
ABH-BUD,ABH,BUD,8,7,MEDIUM
ABH-BUD,ABH,BUD,9,5,MEDIUM
ABH-BUD,ABH,BUD,10,10,HIGH
ABH-BUD,ABH,BUD,11,9,HIGH
ABH-BUD,ABH,BUD,12,6,MEDIUM
ABH-BUD,ABH,BUD,13,5,MEDIUM
ABH-BUD,ABH,BUD,14,6,MEDIUM
ABH-BUD,ABH,BUD,15,5,MEDIUM
ABH-BUD,ABH,BUD,16,6,MEDIUM
ABH-BUD,ABH,BUD,17,7,MEDIUM
ABH-BUD,ABH,BUD,18,7,MEDIUM
ABH-BUD,ABH,BUD,19,7,MEDIUM
ABH-BUD,ABH,BUD,20,9,HIGH
ABH-BUD,ABH,BUD,21,9,HIGH
ABH-BUD,ABH,BUD,22,7,MEDIUM
ABH-BUD,ABH,BUD,23,8,HIGH
ABH-KYN,ABH,KYN,0,1,LOW
ABH-KYN,ABH,KYN,3,2,LOW
ABH-KYN,ABH,KYN,4,3,MEDIUM
ABH-KYN,ABH,KYN,5,4,MEDIUM
ABH-KYN,ABH,KYN,6,5,MEDIUM
ABH-KYN,ABH,KYN,7,8,HIGH
ABH-KYN,ABH,KYN,8,7,MEDIUM
ABH-KYN,ABH,KYN,9,5,MEDIUM
ABH-KYN,ABH,KYN,10,5,MEDIUM
ABH-KYN,ABH,KYN,11,7,MEDIUM
ABH-KYN,ABH,KYN,12,6,MEDIUM
ABH-KYN,ABH,KYN,13,4,MEDIUM
ABH-KYN,ABH,KYN,14,7,MEDIUM
ABH-KYN,ABH,KYN,15,4,MEDIUM
ABH-KYN,ABH,KYN,16,5,MEDIUM
ABH-KYN,ABH,KYN,17,5,MEDIUM
ABH-KYN,ABH,KYN,18,5,MEDIUM
ABH-KYN,ABH,KYN,19,6,MEDIUM
ABH-KYN,ABH,KYN,20,6,MEDIUM
ABH-KYN,ABH,KYN,21,6,MEDIUM
ABH-KYN,ABH,KYN,22,7,MEDIUM
ABH-KYN,ABH,KYN,23,4,MEDIUM
ABH-ULNR,ABH,ULNR,0,7,MEDIUM
ABH-ULNR,ABH,ULNR,1,6,MEDIUM
ABH-ULNR,ABH,ULNR,2,2,LOW
ABH-ULNR,ABH,ULNR,5,2,LOW
ABH-ULNR,ABH,ULNR,6,5,MEDIUM
ABH-ULNR,ABH,ULNR,7,5,MEDIUM
ABH-ULNR,ABH,ULNR,8,3,MEDIUM
ABH-ULNR,ABH,ULNR,9,4,MEDIUM
ABH-ULNR,ABH,ULNR,10,8,HIGH
ABH-ULNR,ABH,ULNR,11,8,HIGH
ABH-ULNR,ABH,ULNR,12,4,MEDIUM
ABH-ULNR,ABH,ULNR,13,4,MEDIUM
ABH-ULNR,ABH,ULNR,14,5,MEDIUM
ABH-ULNR,ABH,ULNR,15,4,MEDIUM
ABH-ULNR,ABH,ULNR,16,6,MEDIUM
ABH-ULNR,ABH,ULNR,17,6,MEDIUM
ABH-ULNR,ABH,ULNR,18,5,MEDIUM
ABH-ULNR,ABH,ULNR,19,6,MEDIUM
ABH-ULNR,ABH,ULNR,20,9,HIGH
ABH-ULNR,ABH,ULNR,21,5,MEDIUM
ABH-ULNR,ABH,ULNR,22,4,MEDIUM
ABH-ULNR,ABH,ULNR,23,5,MEDIUM
ABI-DG,ABI,DG,3,1,LOW
ABI-DG,ABI,DG,4,1,LOW
ABI-DG,ABI,DG,7,1,LOW
ABI-DG,ABI,DG,8,2,LOW
ABI-DG,ABI,DG,10,1,LOW
ABI-DG,ABI,DG,13,1,LOW
ABI-DG,ABI,DG,14,1,LOW
ABI-DG,ABI,DG,16,2,LOW
ABI-DG,ABI,DG,18,1,LOW
ABI-DG,ABI,DG,19,1,LOW
ABI-DG,ABI,DG,21,1,LOW
ABI-DG,ABI,DG,22,1,LOW
ABI-KQN,ABI,KQN,3,1,LOW
ABI-KQN,ABI,KQN,4,1,LOW
ABI-KQN,ABI,KQN,8,2,LOW
ABI-KQN,ABI,KQN,9,1,LOW
ABI-KQN,ABI,KQN,10,1,LOW
ABI-KQN,ABI,KQN,13,2,LOW
ABI-KQN,ABI,KQN,16,2,LOW
ABI-KQN,ABI,KQN,18,1,LOW
ABI-KQN,ABI,KQN,19,1,LOW
ABI-KQN,ABI,KQN,21,1,LOW
ABI-KQN,ABI,KQN,22,1,LOW
ABKA-BDC,ABKA,BDC,2,2,LOW
ABKA-BDC,ABKA,BDC,3,1,LOW
ABKA-BDC,ABKA,BDC,4,2,LOW
ABKA-BDC,ABKA,BDC,8,1,LOW
ABKA-BDC,ABKA,BDC,11,1,LOW
ABKA-BDC,ABKA,BDC,14,1,LOW
ABKA-BDC,ABKA,BDC,16,1,LOW
ABKA-BDC,ABKA,BDC,18,1,LOW
ABKA-BDC,ABKA,BDC,19,1,LOW
ABKA-BDC,ABKA,BDC,20,1,LOW
ABKA-BDC,ABKA,BDC,21,2,LOW
ABKA-BGRA,ABKA,BGRA,0,1,LOW
ABKA-BGRA,ABKA,BGRA,3,1,LOW
ABKA-BGRA,ABKA,BGRA,4,1,LOW
ABKA-BGRA,ABKA,BGRA,5,2,LOW
ABKA-BGRA,ABKA,BGRA,6,2,LOW
ABKA-BGRA,ABKA,BGRA,7,3,MEDIUM
ABKA-BGRA,ABKA,BGRA,8,3,MEDIUM
ABKA-BGRA,ABKA,BGRA,9,2,LOW
ABKA-BGRA,ABKA,BGRA,10,1,LOW
ABKA-BGRA,ABKA,BGRA,11,2,LOW
ABKA-BGRA,ABKA,BGRA,12,1,LOW
ABKA-BGRA,ABKA,BGRA,13,1,LOW
ABKA-BGRA,ABKA,BGRA,14,1,LOW
ABKA-BGRA,ABKA,BGRA,15,2,LOW
ABKA-BGRA,ABKA,BGRA,16,3,MEDIUM
ABKA-BGRA,ABKA,BGRA,17,2,LOW
ABKA-BGRA,ABKA,BGRA,18,3,MEDIUM
ABKA-BGRA,ABKA,BGRA,19,1,LOW
ABKA-BGRA,ABKA,BGRA,20,2,LOW
ABKA-BGRA,ABKA,BGRA,21,2,LOW
ABKA-BGRA,ABKA,BGRA,22,3,MEDIUM
ABKA-BGRA,ABKA,BGRA,23,1,LOW
ABKA-DTAE,ABKA,DTAE,0,1,LOW
ABKA-GPAE,ABKA,GPAE,0,2,LOW
ABKA-GPAE,ABKA,GPAE,1,1,LOW
ABKA-GPAE,ABKA,GPAE,3,1,LOW
ABKA-GPAE,ABKA,GPAE,4,1,LOW
ABKA-GPAE,ABKA,GPAE,5,2,LOW
ABKA-GPAE,ABKA,GPAE,6,2,LOW
ABKA-GPAE,ABKA,GPAE,7,3,MEDIUM
ABKA-GPAE,ABKA,GPAE,8,3,MEDIUM
ABKA-GPAE,ABKA,GPAE,9,2,LOW
ABKA-GPAE,ABKA,GPAE,10,1,LOW
ABKA-GPAE,ABKA,GPAE,11,2,LOW
ABKA-GPAE,ABKA,GPAE,12,1,LOW
ABKA-GPAE,ABKA,GPAE,13,1,LOW
ABKA-GPAE,ABKA,GPAE,14,1,LOW
ABKA-GPAE,ABKA,GPAE,15,2,LOW
ABKA-GPAE,ABKA,GPAE,16,4,MEDIUM
ABKA-GPAE,ABKA,GPAE,17,1,LOW
ABKA-GPAE,ABKA,GPAE,18,3,MEDIUM
ABKA-GPAE,ABKA,GPAE,19,1,LOW
ABKA-GPAE,ABKA,GPAE,20,3,MEDIUM
ABKA-GPAE,ABKA,GPAE,21,1,LOW
ABKA-GPAE,ABKA,GPAE,22,4,MEDIUM
ABKA-NDAE,ABKA,NDAE,0,1,LOW
ABKA-NDAE,ABKA,NDAE,1,1,LOW
ABKA-NDAE,ABKA,NDAE,2,1,LOW
ABKA-NDAE,ABKA,NDAE,3,3,MEDIUM
ABKA-NDAE,ABKA,NDAE,9,1,LOW
ABKA-NDAE,ABKA,NDAE,10,1,LOW
ABKA-NDAE,ABKA,NDAE,15,1,LOW
ABKA-NDAE,ABKA,NDAE,16,1,LOW
ABKA-NDAE,ABKA,NDAE,18,1,LOW
ABKA-NDAE,ABKA,NDAE,19,1,LOW
ABKA-NDAE,ABKA,NDAE,21,1,LOW
ABKA-NDAE,ABKA,NDAE,22,2,LOW
ABKP-BSPR,ABKP,BSPR,6,1,LOW
ABKP-BSPR,ABKP,BSPR,22,1,LOW
ABKP-KLPG,ABKP,KLPG,7,1,LOW
ABKP-KLPG,ABKP,KLPG,8,1,LOW
ABKP-KLPG,ABKP,KLPG,11,1,LOW
ABKP-KLPG,ABKP,KLPG,12,1,LOW
ABKP-KLPG,ABKP,KLPG,14,1,LOW
ABKP-KLPG,ABKP,KLPG,16,1,LOW
ABKP-KLPG,ABKP,KLPG,19,1,LOW
ABKP-KLPG,ABKP,KLPG,21,1,LOW
ABLE-GPR,ABLE,GPR,21,1,LOW
ABLE-JJR,ABLE,JJR,21,1,LOW
ABLE-RJW,ABLE,RJW,6,1,LOW
ABLE-RJW,ABLE,RJW,10,1,LOW
ABLE-RJW,ABLE,RJW,13,1,LOW
ABLE-RJW,ABLE,RJW,18,1,LOW
ABLE-SHIV,ABLE,SHIV,6,1,LOW
ABLE-SHIV,ABLE,SHIV,10,1,LOW
ABLE-SHIV,ABLE,SHIV,14,1,LOW
ABLE-SHIV,ABLE,SHIV,17,1,LOW
ABO-DGHL,ABO,DGHL,5,1,LOW
ABO-DGHL,ABO,DGHL,6,1,LOW
ABO-DGHL,ABO,DGHL,8,1,LOW
ABO-DGHL,ABO,DGHL,17,1,LOW
ABO-DGHL,ABO,DGHL,21,1,LOW
ABO-KRZ,ABO,KRZ,4,1,LOW
ABO-KRZ,ABO,KRZ,5,1,LOW
ABO-KRZ,ABO,KRZ,6,3,MEDIUM
ABO-KRZ,ABO,KRZ,7,1,LOW
ABO-KRZ,ABO,KRZ,8,3,MEDIUM
ABO-KRZ,ABO,KRZ,9,1,LOW
ABO-KRZ,ABO,KRZ,11,2,LOW
ABO-KRZ,ABO,KRZ,13,2,LOW
ABO-KRZ,ABO,KRZ,15,1,LOW
ABO-KRZ,ABO,KRZ,17,2,LOW
ABO-KRZ,ABO,KRZ,18,2,LOW
ABO-KRZ,ABO,KRZ,19,2,LOW
ABO-KRZ,ABO,KRZ,20,3,MEDIUM
ABO-KRZ,ABO,KRZ,21,1,LOW
ABO-KRZ,ABO,KRZ,22,1,LOW
ABO-ROK,ABO,ROK,4,1,LOW
ABO-ROK,ABO,ROK,5,1,LOW
ABO-ROK,ABO,ROK,6,5,MEDIUM
ABO-ROK,ABO,ROK,7,1,LOW
ABO-ROK,ABO,ROK,8,3,MEDIUM
ABO-ROK,ABO,ROK,9,2,LOW
ABO-ROK,ABO,ROK,11,1,LOW
ABO-ROK,ABO,ROK,12,1,LOW
ABO-ROK,ABO,ROK,13,2,LOW
ABO-ROK,ABO,ROK,15,1,LOW
ABO-ROK,ABO,ROK,17,3,MEDIUM
ABO-ROK,ABO,ROK,18,2,LOW
ABO-ROK,ABO,ROK,19,2,LOW
ABO-ROK,ABO,ROK,20,3,MEDIUM
ABO-ROK,ABO,ROK,21,2,LOW
ABO-ROK,ABO,ROK,22,1,LOW
ABP-AY,ABP,AY,5,1,LOW
ABP-AY,ABP,AY,8,2,LOW
ABP-AY,ABP,AY,9,1,LOW
ABP-AY,ABP,AY,16,1,LOW
ABP-AY,ABP,AY,18,1,LOW
ABP-AY,ABP,AY,19,1,LOW
ABP-AY,ABP,AY,21,1,LOW
ABP-BSB,ABP,BSB,1,1,LOW
ABP-BSB,ABP,BSB,10,1,LOW
ABP-FD,ABP,FD,0,2,LOW
ABP-FD,ABP,FD,7,1,LOW
ABP-FD,ABP,FD,12,1,LOW
ABP-FD,ABP,FD,14,1,LOW
ABP-FD,ABP,FD,15,1,LOW
ABP-FD,ABP,FD,17,1,LOW
ABP-FD,ABP,FD,23,1,LOW
ABP-GGJ,ABP,GGJ,1,1,LOW
ABP-GGJ,ABP,GGJ,2,1,LOW
ABP-GGJ,ABP,GGJ,3,1,LOW
ABP-GGJ,ABP,GGJ,4,3,MEDIUM
ABP-GGJ,ABP,GGJ,7,2,LOW
ABP-GGJ,ABP,GGJ,8,1,LOW
ABP-GGJ,ABP,GGJ,9,1,LOW
ABP-GGJ,ABP,GGJ,10,1,LOW
ABP-GGJ,ABP,GGJ,12,1,LOW
ABP-GGJ,ABP,GGJ,13,1,LOW
ABP-GGJ,ABP,GGJ,14,2,LOW
ABP-GGJ,ABP,GGJ,16,1,LOW
ABP-GGJ,ABP,GGJ,17,2,LOW
ABP-GGJ,ABP,GGJ,18,1,LOW
ABP-GGJ,ABP,GGJ,19,1,LOW
ABP-GGJ,ABP,GGJ,21,1,LOW
ABP-GGJ,ABP,GGJ,23,1,LOW
ABP-JFG,ABP,JFG,4,1,LOW
ABP-JFG,ABP,JFG,6,1,LOW
ABP-JFG,ABP,JFG,16,1,LOW
ABP-JFG,ABP,JFG,20,1,LOW
ABP-JNU,ABP,JNU,8,1,LOW
ABP-JNU,ABP,JNU,16,1,LOW
ABP-KTHE,ABP,KTHE,4,1,LOW
ABP-KTHE,ABP,KTHE,6,1,LOW
ABP-KTHE,ABP,KTHE,15,1,LOW
ABP-KTHE,ABP,KTHE,20,1,LOW
ABP-MLPR,ABP,MLPR,1,1,LOW
