block_id,section_id,date,day_of_week,month,is_weekend,maintenance_type,required_asset_type,priority,weather,start_hour,trains_count,traffic_level,assets_of_type_in_section,asset_type_availability_pct,had_availability_record,section_historical_overrun_rate,planned_duration_min,overrun_min,overrun_flag,actual_duration_min
B03726,AST-BVH,2023-01-03,Tuesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Fog,1,1.0,LOW,0.0,0.8539473684210527,0,0.5515873015873016,160.4,17.0,1,177.4
B10009,BGS-KGG,2023-01-03,Tuesday,1,0,Signal Maintenance,Tower Wagon,Low,Heavy Rain,3,2.0,LOW,0.0,0.8666666666666667,0,0.5560958666203543,94.7,48.3,1,143.0
B13361,BT-KZPR,2023-01-03,Tuesday,1,0,Rail Welding,Rail Crane,Low,Clear,22,2.0,LOW,0.0,0.8550632911392405,0,0.5561924257932446,99.1,38.3,1,137.4
B11006,BZA-WL,2023-01-03,Tuesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,2,0.0,LOW,0.0,0.8539473684210527,0,0.5562326869806095,160.1,35.5,1,195.6
B03383,EGT-KBT,2023-01-03,Tuesday,1,0,Rail Welding,Rail Crane,Low,Clear,2,1.0,LOW,0.0,0.8550632911392405,0,0.5517865765330758,92.1,-16.3,0,75.8
B09459,KCG-VAR,2023-01-03,Tuesday,1,0,Rail Welding,Rail Crane,Low,Light Rain,4,4.0,MEDIUM,0.0,0.8550632911392405,0,0.5515880473595189,92.4,48.5,1,140.9
B00431,KGP-TATA,2023-01-03,Tuesday,1,0,Points Renewal,Rail Crane,Low,Clear,0,3.0,MEDIUM,0.0,0.8550632911392405,0,0.5513784461152882,179.0,-2.1,0,176.9
B00273,KHN-TLO,2023-01-03,Tuesday,1,0,Ballast Renewal,Ballast Regulator,Low,Clear,0,1.0,LOW,0.0,0.8592741935483871,0,0.5519181113980081,223.4,-21.9,0,201.4
B02983,MJ-PMY,2023-01-03,Tuesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Clear,0,0.0,LOW,1.0,0.8582191780821918,0,0.5518586324922391,116.7,23.1,1,139.8
B04658,MJT-NACC,2023-01-03,Tuesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Light Rain,0,1.0,LOW,0.0,0.8582191780821918,0,0.5519429024583664,153.6,12.1,1,165.7
B05875,PGT-TCR,2023-01-03,Tuesday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,22,7.0,MEDIUM,0.0,0.8666666666666667,0,0.0,84.0,-5.1,0,78.9
B02704,PV-TBM,2023-01-03,Tuesday,1,0,Ballast Renewal,Ballast Regulator,Low,Clear,3,0.0,LOW,0.0,0.8592741935483871,0,0.5533769063180828,216.1,3.5,0,219.6
B08599,RU-TPTY,2023-01-03,Tuesday,1,0,Signal Maintenance,Tower Wagon,Medium,Clear,23,1.0,LOW,0.0,0.8666666666666667,0,0.5534134881149807,106.9,44.6,1,151.5
B07570,AST-PWL,2023-01-04,Wednesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Light Rain,3,2.0,LOW,0.0,1.0,1,1.0,168.2,10.7,1,178.8
B08780,CGA-FLR,2023-01-04,Wednesday,1,0,Track Repair,Tamping Machine,Medium,Clear,1,0.0,LOW,0.0,0.8571428571428571,1,0.5535252542665058,202.7,-2.6,0,200.2
B05046,DGR-OYR,2023-01-04,Wednesday,1,0,Rail Welding,Rail Crane,Low,Clear,23,0.0,LOW,1.0,1.0,1,0.5520368303571429,82.9,-25.0,0,57.9
B02282,DIVA-MBQ,2023-01-04,Wednesday,1,0,Ballast Renewal,Ballast Regulator,Medium,Clear,0,3.0,MEDIUM,0.0,1.0,1,0.5529571719918422,149.9,7.7,0,157.6
B12389,EGT-KBT,2023-01-04,Wednesday,1,0,Ballast Renewal,Ballast Regulator,Low,Light Rain,1,0.0,LOW,0.0,1.0,1,0.0,257.7,41.0,1,298.6
B00611,GPD-KVP,2023-01-04,Wednesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Clear,22,3.0,MEDIUM,1.0,1.0,1,0.553064112332644,185.1,2.5,0,187.6
B00193,GPD-KVP,2023-01-04,Wednesday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,2,1.0,LOW,0.0,0.6666666666666666,1,0.0,90.6,-9.6,0,81.0
B03207,JHS-LAR,2023-01-04,Wednesday,1,0,Rail Welding,Rail Crane,Low,Clear,1,2.0,LOW,1.0,1.0,1,0.5519819022327137,92.6,15.2,1,107.8
B02571,KGG-MNE,2023-01-04,Wednesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,2,1.0,LOW,0.0,0.6666666666666666,1,0.5519008572493478,169.2,47.8,1,217.0
B10760,KLNT-NDAE,2023-01-04,Wednesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Light Rain,0,1.0,LOW,0.0,0.6666666666666666,1,0.5518582150284835,148.5,-1.1,0,147.4
B08518,KLVA-MBQ,2023-01-04,Wednesday,1,0,Rail Welding,Rail Crane,Medium,Clear,22,13.0,HIGH,0.0,1.0,1,0.5522805119884623,100.3,-0.0,0,100.2
B14094,PV-TBM,2023-01-04,Wednesday,1,0,Signal Maintenance,Tower Wagon,Low,Fog,23,1.0,LOW,0.0,0.6666666666666666,1,0.0,85.9,52.3,1,138.2
B06019,AG-PNCB,2023-01-05,Thursday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,1,0.0,LOW,0.0,1.0,1,0.5534979423868313,166.3,1.3,0,167.6
B14995,BHLA-SOAE,2023-01-05,Thursday,1,0,Ballast Renewal,Ballast Regulator,Low,Clear,0,0.0,LOW,0.0,0.75,1,0.5560596241088788,210.8,50.6,1,261.4
B02952,BMT-SJVP,2023-01-05,Thursday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,22,3.0,MEDIUM,0.0,1.0,1,0.5561511659072634,88.7,-7.9,0,80.8
B06092,BNC-SBC,2023-01-05,Thursday,1,0,Ballast Renewal,Ballast Regulator,Low,Light Rain,23,3.0,MEDIUM,0.0,0.75,1,0.55473877658178,193.3,53.0,1,246.3
B06390,CDAE-MDSE,2023-01-05,Thursday,1,0,Rail Welding,Rail Crane,Low,Clear,3,1.0,LOW,0.0,0.6666666666666666,1,0.5529265255292652,85.8,-2.6,0,83.2
B05780,CHI-RN,2023-01-05,Thursday,1,0,Track Repair,Tamping Machine,Low,Clear,0,3.0,MEDIUM,0.0,0.8,1,0.5525790349417637,218.2,0.1,0,218.3
B12918,KCG-MXT,2023-01-05,Thursday,1,0,Points Renewal,Rail Crane,Medium,Clear,2,0.0,LOW,0.0,0.6666666666666666,1,0.5517468688200395,193.8,8.2,0,202.0
B04006,KDH-SEP,2023-01-05,Thursday,1,0,Track Repair,Tamping Machine,Medium,Clear,3,1.0,LOW,0.0,0.8,1,0.5517176647268631,190.9,24.9,1,215.8
B07349,KK-SVJR,2023-01-05,Thursday,1,0,Points Renewal,Rail Crane,Low,Extreme Heat,1,0.0,LOW,0.0,0.6666666666666666,1,0.551768137076194,120.2,0.3,0,120.6
B10302,KLVA-MBQ,2023-01-05,Thursday,1,0,Track Repair,Tamping Machine,Medium,Clear,23,6.0,MEDIUM,0.0,0.8,1,0.0,134.0,25.8,1,159.7
B03801,KOTA-RMA,2023-01-05,Thursday,1,0,Points Renewal,Rail Crane,Low,Fog,4,1.0,LOW,0.0,0.6666666666666666,1,0.5520274430468819,219.9,13.2,1,233.1
B02763,MJ-PMY,2023-01-05,Thursday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,1,2.0,LOW,0.0,1.0,1,1.0,91.1,-18.5,0,72.6
B05709,MJ-PMY,2023-01-05,Thursday,1,0,Points Renewal,Rail Crane,Low,Clear,0,0.0,LOW,0.0,0.6666666666666666,1,0.5,202.6,21.3,1,223.9
B12794,MUG-TLO,2023-01-05,Thursday,1,0,Rail Welding,Rail Crane,Low,Clear,0,1.0,LOW,0.0,0.6666666666666666,1,0.5533775633293124,115.8,12.1,1,127.9
B06231,OKA-TKD,2023-01-05,Thursday,1,0,Rail Welding,Rail Crane,Low,Clear,1,0.0,LOW,0.0,0.6666666666666666,1,0.5538696094090315,94.8,-13.5,0,81.3
B02413,PLAE-RSLR,2023-01-05,Thursday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Heavy Rain,0,0.0,LOW,0.0,1.0,1,0.5526730686541493,133.2,5.6,0,138.8
B07981,PLAE-SKG,2023-01-05,Thursday,1,0,Ballast Renewal,Ballast Regulator,Low,Extreme Heat,22,3.0,MEDIUM,1.0,0.75,1,0.5528443649373882,153.9,14.1,1,167.9
B04915,ASN-BURN,2023-01-06,Friday,1,0,Rail Welding,Rail Crane,Low,Fog,0,0.0,LOW,0.0,0.5,1,0.5537673738112655,82.6,16.2,1,98.8
B05449,BMT-SJVP,2023-01-06,Friday,1,0,Points Renewal,Rail Crane,Low,Clear,1,0.0,LOW,0.0,0.5,1,0.0,216.0,-12.0,0,204.0
B01135,DDC-DDJ,2023-01-06,Friday,1,0,Signal Maintenance,Tower Wagon,Medium,Clear,0,1.0,LOW,0.0,0.6,1,0.5521130782410052,103.1,-12.5,0,90.6
B04350,DMLE-KJU,2023-01-06,Friday,1,0,Rail Welding,Rail Crane,Low,Clear,4,1.0,LOW,0.0,0.5,1,0.5526772599813059,99.0,35.3,1,134.3
B08963,ET-KNW,2023-01-06,Friday,1,0,Signal Maintenance,Tower Wagon,Low,Fog,2,10.0,HIGH,0.0,0.6,1,0.0,85.7,13.7,1,99.4
B06324,MAS-PER,2023-01-06,Friday,1,0,Track Repair,Tamping Machine,Low,Clear,3,3.0,MEDIUM,0.0,0.75,1,0.5521163376391258,171.8,16.1,1,188.0
B04710,MCA-NDGJ,2023-01-06,Friday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Clear,0,0.0,LOW,0.0,0.5714285714285714,1,0.5520497094899935,170.9,36.0,1,206.9
B10672,MDBP-MPRD,2023-01-06,Friday,1,0,Points Renewal,Rail Crane,Low,Clear,2,0.0,LOW,1.0,0.5,1,0.5520263750402059,182.4,1.7,0,184.1
B00666,ABKA-GPAE,2023-01-07,Saturday,1,1,Rail Welding,Rail Crane,Low,Clear,2,0.0,LOW,0.0,0.8550632911392405,0,0.552,80.2,-7.3,0,72.9
B12453,BDC-BWN,2023-01-07,Saturday,1,1,Points Renewal,Rail Crane,Low,Clear,3,1.0,LOW,1.0,0.8550632911392405,0,0.5547445255474452,204.9,33.1,1,238.0
B01116,BGAE-JIT,2023-01-07,Saturday,1,1,Signal Maintenance,Tower Wagon,Low,Clear,3,1.0,LOW,0.0,0.8666666666666667,0,0.5558069381598794,105.7,-14.6,0,91.1
B10681,BHPA-SNU,2023-01-07,Saturday,1,1,Signal Maintenance,Tower Wagon,Low,Clear,1,0.0,LOW,0.0,0.8666666666666667,0,0.5559085133418044,113.1,23.8,1,136.8
B11668,BSP-R,2023-01-07,Saturday,1,1,OHE Maintenance,OHE Maintenance Special,Low,Fog,1,4.0,MEDIUM,0.0,0.8582191780821918,0,0.555625261396905,188.7,44.6,1,233.3
B13825,BSP-R,2023-01-07,Saturday,1,1,Track Repair,Tamping Machine,Low,Clear,2,1.0,LOW,0.0,0.8466101694915255,0,1.0,139.4,-22.0,0,117.4
B06288,BZA-EE,2023-01-07,Saturday,1,1,Track Repair,Tamping Machine,Medium,Clear,23,15.0,VERY_HIGH,0.0,0.8466101694915255,0,0.556493993993994,168.7,-13.2,0,155.5
B11947,BZU-GDYA,2023-01-07,Saturday,1,1,Ballast Renewal,Ballast Regulator,Low,Clear,0,5.0,MEDIUM,0.0,0.8592741935483871,0,0.5550525172039116,241.9,10.0,1,251.9
B12049,CLA-DR,2023-01-07,Saturday,1,1,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,4,0.0,LOW,0.0,0.8539473684210527,0,0.5521071545246652,171.6,6.5,0,178.1
B04829,KOTA-SWM,2023-01-07,Saturday,1,1,Signal Maintenance,Tower Wagon,Low,Clear,0,0.0,LOW,0.0,0.8666666666666667,0,0.5521208395538773,97.8,-25.0,0,72.8
B12387,KSWD-PMP,2023-01-07,Saturday,1,1,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,22,3.0,MEDIUM,0.0,0.8539473684210527,0,0.5513527485783215,127.1,8.7,0,135.8
B05905,LNL-MVL,2023-01-07,Saturday,1,1,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,22,3.0,MEDIUM,0.0,0.8539473684210527,0,0.5524492825333993,156.8,-6.7,0,150.2
B02380,MKK-NBK,2023-01-07,Saturday,1,1,Points Renewal,Rail Crane,Medium,Clear,2,0.0,LOW,0.0,0.8550632911392405,0,0.552155001977066,185.4,11.7,1,197.0
B11876,BMG-DTK,2023-01-08,Sunday,1,1,Signal Maintenance,Tower Wagon,Medium,Clear,22,5.0,MEDIUM,0.0,0.8666666666666667,0,0.5551020408163265,105.6,49.8,1,155.4
B05539,BNAA-CDP,2023-01-08,Sunday,1,1,Points Renewal,Rail Crane,Low,Clear,2,0.0,LOW,0.0,0.8550632911392405,0,0.5557324840764332,249.2,15.4,1,264.7
B10523,CKP-ROU,2023-01-08,Sunday,1,1,Signal Maintenance,Tower Wagon,Low,Clear,4,3.0,MEDIUM,0.0,0.8666666666666667,0,0.5527440026289846,98.2,13.1,1,111.3
B07629,CLA-MTN,2023-01-08,Sunday,1,1,Ballast Renewal,Ballast Regulator,High,Extreme Heat,1,1.0,LOW,0.0,0.8592741935483871,0,0.5519987000324992,234.8,-3.3,0,231.5
B04844,GGC-SWM,2023-01-08,Sunday,1,1,Track Stabilization,Dynamic Track Stabilizer,Low,Clear,1,0.0,LOW,0.0,0.8539473684210527,0,0.5517203107658157,176.4,38.1,1,214.4
B06504,HPG-YKA,2023-01-08,Sunday,1,1,Track Repair,Tamping Machine,Medium,Heavy Rain,23,1.0,LOW,0.0,0.8466101694915255,0,0.5523458307723828,163.4,35.2,1,198.6
B01548,KMZA-MPE,2023-01-08,Sunday,1,1,Points Renewal,Rail Crane,Low,Light Rain,0,0.0,LOW,0.0,0.8550632911392405,0,0.55212045616536,189.1,-2.8,0,186.3
B02082,KPG-MMR,2023-01-08,Sunday,1,1,Points Renewal,Rail Crane,Low,Clear,1,4.0,MEDIUM,0.0,0.8550632911392405,0,0.5516188149053146,208.1,-25.0,0,183.1
B12356,MCI-RDM,2023-01-08,Sunday,1,1,Track Repair,Tamping Machine,Low,Fog,3,1.0,LOW,0.0,0.8466101694915255,0,0.551904646855118,189.4,35.9,1,225.3
B11996,MSB-MTMY,2023-01-08,Sunday,1,1,Points Renewal,Rail Crane,Medium,Heavy Rain,23,3.0,MEDIUM,0.0,0.8550632911392405,0,0.5534605656472752,271.3,5.2,0,276.5
B05725,PDA-SLG,2023-01-08,Sunday,1,1,Track Repair,Tamping Machine,Low,Clear,2,0.0,LOW,0.0,0.8466101694915255,0,0.5534309834764413,182.5,-1.7,0,180.8
B14660,SBGR-SPR,2023-01-08,Sunday,1,1,Rail Welding,Rail Crane,Medium,Clear,23,4.0,MEDIUM,0.0,0.8550632911392405,0,0.5535185057550486,69.7,-0.6,0,69.1
B12318,ASKR-GUMA,2023-01-09,Monday,1,0,Points Renewal,Rail Crane,Low,Heavy Rain,22,5.0,MEDIUM,0.0,1.0,1,0.5538809344385832,207.9,25.3,1,233.2
B10832,BGL-MYHT,2023-01-09,Monday,1,0,Points Renewal,Rail Crane,Low,Clear,2,0.0,LOW,1.0,1.0,1,0.5604002859185132,146.7,-25.0,0,121.7
B14703,BGRD-SXC,2023-01-09,Monday,1,0,Points Renewal,Rail Crane,Low,Clear,1,0.0,LOW,0.0,1.0,1,0.5576990529638723,171.1,-25.0,0,146.1
B07996,BIRA-GUMA,2023-01-09,Monday,1,0,Points Renewal,Rail Crane,Low,Extreme Heat,1,0.0,LOW,0.0,1.0,1,0.5542459957691145,200.8,36.2,1,237.0
B11958,BNAA-BNJ,2023-01-09,Monday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,1,0.0,LOW,0.0,1.0,1,0.0,98.1,-7.9,0,90.2
B03171,BNKA-PNCB,2023-01-09,Monday,1,0,Ballast Renewal,Ballast Regulator,Low,Fog,23,1.0,LOW,0.0,1.0,1,0.5551830840639504,183.8,41.1,1,225.0
B06869,BPAE-JOX,2023-01-09,Monday,1,0,Points Renewal,Rail Crane,Low,Clear,3,0.0,LOW,0.0,1.0,1,0.552998776009792,163.4,-17.8,0,145.6
B13732,BTE-MTJ,2023-01-09,Monday,1,0,Points Renewal,Rail Crane,Low,Clear,0,5.0,MEDIUM,0.0,1.0,1,0.5560995512035903,174.3,-2.1,0,172.3
B02088,CMP-PV,2023-01-09,Monday,1,0,Signal Maintenance,Tower Wagon,Medium,Clear,0,4.0,MEDIUM,0.0,1.0,1,0.5514258250560717,106.6,14.3,1,120.9
B06806,DIVA-KOPR,2023-01-09,Monday,1,0,Rail Welding,Rail Crane,Medium,Clear,3,0.0,LOW,0.0,1.0,1,0.5529363673525003,89.4,13.5,1,102.9
B01013,DKDP-HT,2023-01-09,Monday,1,0,Rail Welding,Rail Crane,Low,Clear,2,0.0,LOW,0.0,1.0,1,0.5525428301632268,96.1,24.8,1,120.9
B14348,KMT-WL,2023-01-09,Monday,1,0,Track Repair,Tamping Machine,Low,Light Rain,4,1.0,LOW,1.0,1.0,1,0.5520656732399393,148.7,43.4,1,192.1
B03346,KTE-STA,2023-01-09,Monday,1,0,Track Repair,Tamping Machine,Low,Clear,23,9.0,HIGH,0.0,1.0,1,0.5515583412037435,212.2,14.9,1,227.1
B09170,MJ-PMY,2023-01-09,Monday,1,0,Ballast Renewal,Ballast Regulator,Low,Heavy Rain,2,2.0,LOW,0.0,1.0,1,0.6666666666666666,219.4,68.3,1,287.6
B00105,MPK-MS,2023-01-09,Monday,1,0,Track Stabilization,Dynamic Track Stabilizer,Medium,Extreme Heat,22,5.0,MEDIUM,0.0,1.0,1,0.5529968209661161,148.2,-22.7,0,125.5
B06950,NCB-NOQ,2023-01-09,Monday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,0,2.0,LOW,0.0,1.0,1,0.5534436493738819,95.9,15.2,1,111.1
B07785,ANVR-CNJ,2023-01-10,Tuesday,1,0,Track Repair,Tamping Machine,Low,Clear,3,0.0,LOW,0.0,1.0,1,0.5558354324097398,156.6,-8.4,0,148.2
B07190,ASN-DGR,2023-01-10,Tuesday,1,0,Points Renewal,Rail Crane,Low,Clear,0,6.0,MEDIUM,0.0,0.6666666666666666,1,0.5511079342387419,252.5,25.9,1,278.4
B11409,BGAE-JIT,2023-01-10,Tuesday,1,0,Rail Welding,Rail Crane,Low,Clear,23,2.0,LOW,0.0,0.6666666666666666,1,0.0,86.0,18.8,1,104.7
B06292,BHPA-MGT,2023-01-10,Tuesday,1,0,Rail Welding,Rail Crane,Low,Clear,1,0.0,LOW,1.0,0.6666666666666666,1,0.5559820857325656,99.2,54.8,1,154.0
B13574,BLN-SDAH,2023-01-10,Tuesday,1,0,Rail Welding,Rail Crane,High,Clear,23,10.0,HIGH,0.0,0.6666666666666666,1,0.5555239179954442,94.6,36.8,1,131.4
B00870,BOP-NPMR,2023-01-10,Tuesday,1,0,Track Repair,Tamping Machine,Low,Fog,0,0.0,LOW,0.0,1.0,1,0.5537768884442221,230.9,-25.0,0,205.9
B11890,BRPA-MBE,2023-01-10,Tuesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Low,Extreme Heat,0,0.0,LOW,0.0,0.75,1,0.5548875528835449,146.8,15.2,1,162.0
B14550,CLA-MTN,2023-01-10,Tuesday,1,0,Ballast Renewal,Ballast Regulator,High,Clear,4,3.0,MEDIUM,0.0,0.8592741935483871,0,0.0,227.9,0.2,0,228.1
B10406,DDJ-SDAH,2023-01-10,Tuesday,1,0,Points Renewal,Rail Crane,Low,Clear,4,1.0,LOW,0.0,0.6666666666666666,1,0.5522917553568895,207.9,-7.6,0,200.2
B08021,HLR-NH,2023-01-10,Tuesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Medium,Fog,2,0.0,LOW,0.0,0.75,1,0.5527321557690321,159.0,19.5,1,178.4
B08304,KDH-SEP,2023-01-10,Tuesday,1,0,Track Repair,Tamping Machine,Medium,Light Rain,0,2.0,LOW,0.0,1.0,1,1.0,186.1,5.3,0,191.4
B14402,KGP-SRC,2023-01-10,Tuesday,1,0,Ballast Renewal,Ballast Regulator,Low,Heavy Rain,3,1.0,LOW,0.0,0.8592741935483871,0,0.5517529991630242,177.1,-13.8,0,163.3
B14242,KYN-NK,2023-01-10,Tuesday,1,0,Track Repair,Tamping Machine,Low,Light Rain,1,5.0,MEDIUM,0.0,1.0,1,0.5524959878368105,131.5,14.1,1,145.6
B11401,MAF-TO,2023-01-10,Tuesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Fog,1,0.0,LOW,0.0,1.0,1,0.552663884114903,133.2,-18.7,0,114.6
B05731,NVS-ST,2023-01-10,Tuesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Fog,3,6.0,MEDIUM,0.0,1.0,1,0.5536352366367681,132.9,34.3,1,167.2
B01220,BHKA-KBGH,2023-01-11,Wednesday,1,0,Points Renewal,Rail Crane,Low,Light Rain,3,0.0,LOW,0.0,1.0,1,0.5562892043578739,169.6,1.5,0,171.1
B02770,BRP-MAK,2023-01-11,Wednesday,1,0,OHE Maintenance,OHE Maintenance Special,Medium,Clear,1,0.0,LOW,0.0,1.0,1,0.5569251456745854,187.2,-3.4,0,183.8
B13119,BZA-OGL,2023-01-11,Wednesday,1,0,Signal Maintenance,Tower Wagon,Low,Clear,2,3.0,MEDIUM,0.0,0.6666666666666666,1,0.55650876538605,73.5,11.0,1,84.5
B05358,BZA-OGL,2023-01-11,Wednesday,1,0,OHE Maintenance,OHE Maintenance Special,Low,Clear,1,9.0,HIGH,0.0,1.0,1,1.0,123.6,-18.9,0,104.7
B13991,CGA-FLR,2023-01-11,Wednesday,1,0,Track Stabilization,Dynamic Track Stabilizer,Medium,Clear,0,3.0,MEDIUM,0.0,1.0,1,0.0,142.7,-7.7,0,135.0
